ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR	262/678	331/12465	5.76834973408737e-285	7.09507017292747e-282	3.91033392500239e-282	25/84142/65057/86/79913/93973/54936/121642/221120/54890/322/328/9716/51008/84164/10973/472/545/84126/29086/9577/580/9031/641/672/675/79184/83990/902/1017/1022/378708/201254/1069/9557/1111/11200/63967/9318/8533/51138/10987/10980/50813/64708/10920/8451/8450/9937/64858/64421/1642/1643/1763/51514/146956/197342/2033/2067/2068/2071/2072/2073/2074/1161/9156/2138/2139/2140/2070/80233/199990/91442/22909/2175/2187/2176/2177/2178/2188/2189/55215/55120/57697/2237/79068/348654/2873/2965/2966/2967/2968/404672/8924/3150/3364/54617/83444/125476/54891/283899/9636/57461/10524/3978/3980/3981/10459/8930/10445/9656/4255/4292/4331/4350/4361/4436/4437/2956/80198/4595/4683/79661/252969/55247/4798/79840/55666/7468/4913/4968/79728/8505/142/10038/22976/9768/5111/51588/5395/11284/5423/5424/5425/10714/57804/5426/5427/54107/5429/11201/51426/27343/27434/353497/10721/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441/10450/5531/151987/5536/5591/27339/5810/5884/56852/5886/5887/10111/5888/10635/5890/5889/5892/5893/5883/144715/5932/9978/25898/51455/5980/5981/5982/5983/5984/5985/83695/55183/80010/116028/54778/165918/9025/6117/6118/6119/6233/51750/8607/51548/548593/84464/23583/23514/83932/7341/6917/6996/55775/51567/7014/54386/29844/8914/54962/11073/7157/7158/7706/7311/7314/7316/7320/9246/7334/29089/7336/7353/51720/7374/7398/9100/124739/85015/7874/57654/7415/57599/7486/56949/7507/7508/7515/7516/7517/7518/7520/2547/7528/91603	262
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	REACTOME_NUCLEOTIDE_EXCISION_REPAIR	102/678	110/12465	1.49758893434114e-121	9.21017194619804e-119	5.07603828271419e-119	86/79913/93973/9716/902/1022/1069/9557/9318/8533/51138/10987/10980/50813/64708/10920/8451/8450/1642/1643/2033/2067/2068/2071/2072/2073/2074/1161/2873/2965/2966/2967/2968/404672/3150/54617/83444/125476/54891/283899/57461/3978/3980/10445/4331/4798/142/10038/5111/5424/5425/10714/57804/5426/5427/54107/51426/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441/10450/27339/5886/5887/9978/5981/5982/5983/5984/5985/54778/6117/6118/6119/6233/8607/7341/6917/29844/7311/7314/7316/7334/7336/85015/7874/57654/56949/7507/7508/7515/7528/91603	102
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	118/678	166/12465	3.64395289831024e-113	1.4940206883072e-110	8.23405497021683e-111	25/84142/322/472/545/84126/29086/9577/580/9031/641/672/675/79184/83990/1017/1111/11200/63967/64421/1763/146956/197342/2067/2072/9156/2138/2139/2140/2070/2237/348654/8924/3364/10524/3980/3981/9656/4361/80198/4683/79840/7468/79728/142/10038/22976/5111/51588/5424/5425/10714/57804/5426/5427/54107/5429/51426/27343/27434/10721/5531/151987/5536/5591/5810/5884/10111/5888/10635/5890/5889/5892/5893/5883/144715/5932/5981/5982/5983/5984/5985/83695/55183/80010/116028/165918/9025/6117/6118/6119/6233/51750/51548/548593/84464/23514/7341/55775/51567/8914/54962/11073/7157/7158/7311/7314/7316/7334/7336/51720/7486/7515/7516/7517/7518/7520/2547	118
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	152/678	363/12465	1.08566309031245e-98	3.33841400271079e-96	1.83991323726637e-96	207/1820/1386/472/545/84126/6790/580/581/604/637/641/672/83990/7832/10498/835/891/902/8812/995/983/1017/1022/1025/1026/1027/1111/11200/23019/25904/55571/4848/4849/4850/57472/246175/29883/9337/9125/8738/1643/54541/1763/8445/1869/1874/144455/79733/2033/2068/2071/9156/2176/2177/55215/1647/2965/2966/2967/2968/404672/204851/28996/3364/3622/133746/10524/387893/5608/1432/9656/4193/4194/4292/4331/4361/4436/4683/10397/4869/9891/57060/5111/55367/5325/10769/1263/5366/5371/5395/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441/3276/5810/5884/10111/5892/5883/144715/5932/5934/5982/5983/5984/5985/28984/83695/80010/116028/6117/6118/6119/6233/50484/83667/2810/6446/56950/6749/6794/11198/6872/6880/51616/6917/7027/7029/57103/85456/11073/7157/8626/7161/51499/91875/7311/7314/7316/7874/7486/25946	152
REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER	REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER	76/678	78/12465	3.45002689472847e-95	8.48706616103204e-93	4.67751014780028e-93	9716/902/1022/9318/8533/51138/10987/10980/50813/64708/10920/8451/8450/1642/2033/2067/2068/2071/2072/2073/2074/1161/2873/2965/2966/2967/2968/404672/3150/57461/3978/3980/4331/5111/5424/5425/10714/57804/5426/5427/54107/51426/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441/10450/27339/9978/5981/5982/5983/5984/5985/6117/6118/6119/6233/6917/7311/7314/7316/7874/57654/56949/7507/7515/91603	76
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER	77/678	84/12465	1.9784488730127e-90	4.05582018967603e-88	2.23530013021084e-88	86/79913/93973/902/1022/1069/9557/9318/8533/51138/10987/10980/50813/64708/10920/8451/8450/1642/1643/2067/2068/2071/2072/2073/2873/2965/2966/2967/2968/404672/54617/83444/125476/54891/283899/3978/3980/10445/4331/4798/142/10038/5111/5424/5425/10714/57804/5426/5427/54107/51426/5886/5887/9978/5981/5982/5983/5984/5985/54778/6117/6118/6119/6233/8607/7341/29844/7311/7314/7316/7334/7336/85015/7507/7508/7515/7528	77
REACTOME_HOMOLOGY_DIRECTED_REPAIR	REACTOME_HOMOLOGY_DIRECTED_REPAIR	96/678	138/12465	3.36489874166754e-90	5.91260778893011e-88	3.25863878140436e-88	25/84142/472/545/84126/29086/9577/580/641/672/675/79184/83990/1017/1111/63967/1763/146956/197342/2067/2072/9156/2237/348654/8924/3364/10524/3980/9656/4361/80198/4683/7468/79728/142/10038/5111/51588/5424/5425/10714/57804/5426/5427/54107/5429/51426/10721/5531/151987/5810/5884/10111/5888/10635/5890/5889/5892/5893/5883/144715/5932/5981/5982/5983/5984/5985/83695/80010/116028/165918/9025/6117/6118/6119/6233/51750/51548/548593/84464/23514/7341/8914/54962/11073/7158/7311/7314/7316/7334/7336/51720/7486/7515/7516/7517	96
DNA IR-damage and cellular response via ATR%WikiPathways_20190910%WP4016%Homo sapiens	DNA IR-damage and cellular response via ATR%WikiPathways_20190910%WP4016%Homo sapiens	74/678	83/12465	1.12683287914675e-84	1.73250555168813e-82	9.54842597592775e-83	84142/472/545/84126/580/604/672/675/79184/83990/995/8318/983/1017/22897/1111/11200/63967/9937/1869/9521/9156/2175/2177/55215/2237/2305/8924/3364/8517/4171/9656/4193/4292/4361/4436/4683/79728/142/5111/5347/5371/5423/353497/8493/5591/5810/5884/10111/5888/5893/5883/5932/5965/9400/55159/80010/6117/6118/7979/50485/8243/55775/11073/7157/7158/10155/7323/51720/5976/7398/7486/7507/7520	74
REACTOME_DUAL_INCISION_IN_TC_NER	REACTOME_DUAL_INCISION_IN_TC_NER	64/678	65/12465	4.00213576216941e-81	5.46958554163152e-79	3.01447418811357e-79	9716/902/1022/8451/8450/1642/2033/2067/2068/2071/2072/2073/2074/1161/2965/2966/2967/2968/404672/3150/57461/4331/5111/5424/5425/10714/57804/5426/5427/54107/51426/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441/10450/27339/9978/5981/5982/5983/5984/5985/6117/6118/6119/6233/6917/7311/7314/7316/7874/57654/56949/7507/91603	64
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	64/678	67/12465	2.66897054238495e-78	3.28283376713349e-76	1.80928108346938e-76	472/545/84126/580/641/672/675/83990/1111/1763/146956/197342/9156/348654/3364/10524/4361/80198/4683/79728/5111/5424/5425/10714/57804/5426/5427/54107/5429/51426/5810/5884/10111/5888/10635/5890/5889/5892/5883/144715/5932/5981/5982/5983/5984/5985/83695/80010/116028/6117/6118/6119/6233/51750/548593/84464/23514/11073/7311/7314/7316/7486/7516/7517	64
