ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	33/245	37/12465	3.26267113973651e-53	3.94456940794145e-50	2.28730418848897e-50	538/847/9973/1535/1536/54205/30001/2876/2877/2878/2880/2882/493869/2936/2950/653361/4688/4689/50507/79400/318/5034/5052/7001/10935/25824/9588/6647/6648/6649/7295/7296/10587	33
REACTOME_CELLULAR_RESPONSES_TO_STRESS	REACTOME_CELLULAR_RESPONSES_TO_STRESS	61/245	440/12465	4.07946870604812e-35	2.46603883280609e-32	1.4299611359095e-32	405/538/9529/847/57332/890/9973/1017/1535/1536/54205/2034/30001/2113/2146/2353/2876/2877/2878/2880/2882/493869/2936/2950/10013/3091/3297/3303/3304/3315/3569/3725/23135/4217/5594/5595/5598/5599/5601/4193/653361/4688/4689/50507/79400/318/5034/5052/7001/10935/25824/9588/5970/23411/6647/6648/6649/7157/7295/7296/10587	61
VEGFA-VEGFR2 Signaling Pathway%WikiPathways_20190910%WP3888%Homo sapiens	VEGFA-VEGFR2 Signaling Pathway%WikiPathways_20190910%WP3888%Homo sapiens	37/245	238/12465	5.07935838683576e-23	2.04698142989481e-20	1.18696585460794e-20	207/301/468/596/10645/1398/1499/2113/2308/2309/2534/3303/3315/3725/4217/5594/5595/5599/5601/79109/4313/653361/4688/4846/4929/8013/5562/5563/5580/5587/5829/10399/5970/6648/6714/6778/7295	37
Oxidative Stress%WikiPathways_20190910%WP408%Homo sapiens	Oxidative Stress%WikiPathways_20190910%WP408%Homo sapiens	18/245	34/12465	1.70617973000312e-22	5.15692823393444e-20	2.99030447416337e-20	847/1536/2353/2876/2878/2936/3162/4257/4780/27035/50507/79400/1728/6647/6648/6649/7296/10587	18
AGE/RAGE pathway%WikiPathways_20190910%WP2324%Homo sapiens	AGE/RAGE pathway%WikiPathways_20190910%WP2324%Homo sapiens	21/245	66/12465	2.49964604243529e-20	6.04414413060852e-18	3.50476687213032e-18	207/1147/54205/1956/2308/3091/3630/3717/3725/5594/5595/5599/5601/4313/4318/653361/4846/5580/5970/6647/6714	21
Selenium Micronutrient Network%WikiPathways_20190910%WP15%Homo sapiens	Selenium Micronutrient Network%WikiPathways_20190910%WP15%Homo sapiens	23/245	92/12465	1.68717521083436e-19	3.39965804983123e-17	1.97133103581699e-17	847/2876/2877/2878/2936/3569/3630/4353/4548/5052/7001/10935/25824/5970/57190/55829/6647/6648/6649/7124/7295/7296/10587	23
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	37/245	325/12465	2.74530415770814e-18	4.7415324666702e-16	2.74943243463703e-16	25/207/405/596/1017/1147/1398/1499/54205/1612/1956/2034/2113/2353/2308/8321/2950/3066/3082/3091/3569/3725/5594/5595/5599/5601/4193/4233/4313/4318/5156/5371/5970/7157/7186/7471/51384	37
Photodynamic therapy-induced AP-1 survival signaling.%WikiPathways_20190910%WP3611%Homo sapiens	Photodynamic therapy-induced AP-1 survival signaling.%WikiPathways_20190910%WP3611%Homo sapiens	17/245	51/12465	4.55798729688665e-17	6.88825830241995e-15	3.99423623648225e-15	596/890/8837/1956/2353/3569/3725/4217/5603/5599/4170/4313/4780/5156/7124/7157/7186	17
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway%WikiPathways_20190910%WP2380%Homo sapiens	Brain-Derived Neurotrophic Factor (BDNF) signaling pathway%WikiPathways_20190910%WP2380%Homo sapiens	24/245	144/12465	5.95034526891965e-16	7.99329714458206e-14	4.63500578842162e-14	207/1147/1499/1965/2353/2309/2534/3717/3725/5594/5595/5598/5599/5601/4137/653361/4688/5562/5563/5580/10399/5970/140885/6714	24
TNF alpha Signaling Pathway%WikiPathways_20190910%WP231%Homo sapiens	TNF alpha Signaling Pathway%WikiPathways_20190910%WP231%Homo sapiens	20/245	94/12465	1.26409479179526e-15	1.52829060328047e-13	8.86196980353309e-14	207/8837/1147/1535/56616/3569/3725/4217/5594/5595/5599/5601/27035/8737/11035/7124/7128/7186/10131/7295	20
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	21/245	111/12465	2.98206983092963e-15	3.27756584144902e-13	1.90053445684127e-13	207/301/596/948/2353/2308/2309/3082/3091/3162/3586/3569/3717/3934/4170/4313/4314/4318/6778/7124/7157	21
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway%WikiPathways_20190910%WP2036%Homo sapiens	TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway%WikiPathways_20190910%WP2036%Homo sapiens	14/245	42/12465	2.87198495825164e-14	2.89352484543853e-12	1.67784384403122e-12	207/1147/1499/3569/3725/5594/5595/5599/5601/4318/5970/8737/7124/7186	14
RAC1/PAK1/p38/MMP2 Pathway%WikiPathways_20190910%WP3303%Homo sapiens	RAC1/PAK1/p38/MMP2 Pathway%WikiPathways_20190910%WP3303%Homo sapiens	16/245	69/12465	2.30172073744437e-13	2.11378388749829e-11	1.22570203219177e-11	207/1147/1398/1499/1956/2308/5594/5603/5595/5599/5601/4313/5829/5970/6714/7157	16
Apoptosis Modulation and Signaling%WikiPathways_20190910%WP1772%Homo sapiens	Apoptosis Modulation and Signaling%WikiPathways_20190910%WP1772%Homo sapiens	18/245	94/12465	2.44772327750008e-13	2.11378388749829e-11	1.22570203219177e-11	9131/596/664/8837/54205/56616/2021/2353/3303/27429/3725/4217/5595/5599/4170/5587/8737/7157	18
