ID	NES_1	pvalue_1	NES_2	pvalue_2	NES_3	pvalue_3	NES_4	pvalue_4	NES_5	pvalue_5	NES_6	pvalue_6
GO:0006954	-1.20853552900113	0.0333333333333333	0.946149656143975	0.673684210526316	1.0269796214165	0.341698841698842	1.60294315566593	0.00308641975308642	1.50868014025644	0.00247524752475248	1.84882082135789	0.0021551724137931
KEGG_ALZHEIMERS_DISEASE	-0.611739781921626	1	0.540915168976581	1	-0.923925100046473	0.641666666666667	-0.804435181238412	0.901694915254237	-1.02897996445754	0.404494382022472	-1.10360551012219	0.275247524752475
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.781747402457549	0.850549450549451	1.2817634069848	0.132882882882883	-1.10390767100866	0.305785123966942	-1.12341533705533	0.283018867924528	0.818722399611583	0.767932489451477	0.995580878966197	0.460416666666667
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.21104512919268	0.219827586206897	0.836362907166165	0.682634730538922	-0.841987619318592	0.670781893004115	-0.982941475782832	0.466417910447761	-0.916781615468443	0.573099415204678	-1.20017993384261	0.240234375
KEGG_SPHINGOLIPID_METABOLISM	-1.25967579026587	0.163302752293578	-1.24925578675645	0.196116504854369	0.820870912307449	0.741682974559687	1.14163218218969	0.286652078774617	-0.788962697022121	0.781925343811395	0.82804639532807	0.717213114754098
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.957311959169488	0.52262443438914	0.867564206304673	0.66815144766147	-1.01932365532298	0.409090909090909	-0.859009840063808	0.687265917602996	-1.22562034175479	0.166030534351145	-1.16864477363204	0.228846153846154
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1.0244832276089	0.419047619047619	-0.828608501007088	0.7425431711146	1.17386355228347	0.17658349328215	1.10992858286246	0.261792452830189	-0.933353143320476	0.571428571428571	-1.34461882202485	0.0559701492537313
KEGG_WNT_SIGNALING_PATHWAY	1.09749500754737	0.273333333333333	0.971625402830177	0.545977011494253	-0.729493875303036	0.966804979253112	1.1251666277224	0.193627450980392	-1.06703870103354	0.313761467889908	-0.884603957873664	0.707171314741036
LncRNA involvement in canonical Wnt signaling and colorectal cancer%WikiPathways_20190910%WP4258%Homo sapiens	0.884023103608524	0.722595078299776	0.945917568724019	0.568527918781726	-0.806048944378256	0.857731958762887	1.32121994814712	0.0873563218390805	-0.879520636316923	0.718146718146718	0.752714764774361	0.925311203319502
Metabolism of Spingolipids in ER and Golgi apparatus%WikiPathways_20190910%WP4142%Homo sapiens	-0.63813419520017	0.885819521178637	0.917232978161689	0.592870544090056	0.509824983604109	0.979245283018868	1.43782794692753	0.0870488322717622	1.10230484278658	0.358823529411765	0.73250836259785	0.797160243407708
ncRNAs involved in Wnt signaling in hepatocellular carcinoma%WikiPathways_20190910%WP4336%Homo sapiens	1.00810967512504	0.457589285714286	0.889731932389874	0.67948717948718	-0.762767950747018	0.900621118012422	1.34503713304698	0.0831353919239905	-1.10267259765516	0.24703557312253	-1.02053581622703	0.434535104364326
Oxidative phosphorylation%WikiPathways_20190910%WP623%Homo sapiens	-0.512083058059511	0.998171846435101	0.622356229611555	0.975225225225225	-0.626172586064307	0.987603305785124	-0.711053011236907	0.916981132075472	-1.34110927420418	0.0909090909090909	-1.31863888785185	0.0766283524904215
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	-1.08239377598368	0.345588235294118	-1.12971793135284	0.304263565891473	0.755365589157579	0.83976833976834	0.801190128314292	0.764192139737991	-1.02862385774426	0.4296875	0.844718695045285	0.692622950819672
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	-1.00144308715633	0.451730418943534	0.800217068117711	0.802197802197802	0.983785671203887	0.49498997995992	1.39330257740289	0.0845986984815618	-0.82149817109728	0.761165048543689	-1.54203507324179	0.011605415860735
REACTOME_CA2PLUS_ACTIVATED_KPLUS_CHANNELS	-1.5238599934161	0.0478821362799263	0.657341638697044	0.876172607879925	0.663961010947353	0.894339622641509	1.25099845067708	0.214437367303609	-0.856929555073495	0.660569105691057	0.982759191421184	0.519269776876268
REACTOME_CD22_MEDIATED_BCR_REGULATION	-1.07602909954595	0.408088235294118	-0.857437378137064	0.648648648648649	0.65572787606908	0.860902255639098	0.918847471392504	0.582795698924731	-1.19891461962222	0.288343558282209	0.835368429181113	0.688935281837161
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	-1.0019473483093	0.457894736842105	1.14705734241762	0.199421965317919	1.10208823359027	0.266924564796905	1.58457208094091	0.00485436893203883	-1.20235206883239	0.139047619047619	-1.23279048378429	0.106177606177606
REACTOME_CGMP_EFFECTS	-0.665130068769234	0.881700554528651	1.30275215050479	0.155642023346304	1.14030726768623	0.29467680608365	1.52618349933433	0.0625	-0.702471106228497	0.836	0.99234535876858	0.504048582995951
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	1.324194565483	0.0826086956521739	1.2979207145456	0.0995145631067961	-0.900748167885182	0.608433734939759	1.00318722257421	0.431670281995662	-1.01195611395205	0.422857142857143	-1.4452615436286	0.0269749518304432
REACTOME_COLLAGEN_FORMATION	1.46291136853696	0.0242290748898678	1.36903968656553	0.053030303030303	-0.737598952973931	0.929460580912863	0.857286890901871	0.720554272517321	-1.24091262488768	0.10916179337232	-1.19943601025522	0.157303370786517
REACTOME_COMPLEMENT_CASCADE	-1.08750631018823	0.321880650994575	-0.879018894813939	0.624555160142349	1.4648621366077	0.0356435643564356	0.769469389840806	0.854030501089325	0.87310791147327	0.695744680851064	-1.21768336179308	0.165714285714286
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-0.694135329327777	0.882783882783883	-0.593017159993847	0.93265306122449	0.830887151614455	0.687258687258687	0.840792741703144	0.683083511777302	0.86427503783298	0.649797570850202	0.610478466575842	0.934
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.967807574028306	0.519721577726218	1.33675349882615	0.0161290322580645	1.06031541049699	0.289108910891089	1.25332840251899	0.04	-1.11481876170123	0.187279151943463	-1.25030960563323	0.0437262357414449
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	-0.97973321046536	0.479381443298969	-1.20737150682375	0.16385911179173	-1.31016377018848	0.0388768898488121	-1.02230025533274	0.417677642980936	-1.11085922135935	0.270522388059701	0.847643223800593	0.814583333333333
REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION	-1.1776265588985	0.231481481481481	-0.876560505137766	0.613412228796844	0.818021796833591	0.744639376218324	1.11232614969201	0.309255079006772	-1.36702293375782	0.0972762645914397	-0.926622125440317	0.568965517241379
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	-0.774611936245919	0.817518248175182	1.03556074194708	0.390396659707724	-1.10483461178545	0.284210526315789	0.955123344512604	0.513452914798206	-1.08873912915329	0.342465753424658	-0.726730475759986	0.888888888888889
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	-0.937753824094105	0.562841530054645	-1.19126979222117	0.215254237288136	-1.51730397711809	0.0178571428571429	-1.35799419393344	0.0645724258289703	-0.849847620092377	0.756335282651072	1.01540685933032	0.440928270042194
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	0.983759884824569	0.491031390134529	-0.898095388439667	0.587748344370861	0.876721097659054	0.677734375	0.911444440731897	0.617169373549884	-1.03911121604297	0.398019801980198	0.941794871743528	0.56
REACTOME_FCGR_ACTIVATION	-1.08286335813489	0.379506641366224	-1.11373131736812	0.348739495798319	0.653217751930445	0.887189292543021	0.865915126043641	0.614879649890591	-0.880555755149814	0.622950819672131	1.33797924502186	0.141153081510934
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	-1.37939849800215	0.0884476534296029	-1.3582972008341	0.146198830409357	-0.681666687082626	0.935010482180293	1.27128799846955	0.160087719298246	-1.13781499229872	0.292585170340681	-0.978824726265934	0.514792899408284
REACTOME_HS_GAG_DEGRADATION	0.509920092567069	0.991379310344828	-0.540514566311623	0.966067864271457	-1.33586164958549	0.119341563786008	-1.20401338642218	0.242537313432836	-0.906040346364423	0.586744639376218	-0.792017173573495	0.767578125
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.875615123783262	0.745882352941176	0.835346088943233	0.821428571428571	1.66057060871079	0.00572519083969466	1.10162402817374	0.285714285714286	0.836254088991459	0.795309168443497	-1.41980913390472	0.0279329608938547
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	-1.08865020806628	0.35045871559633	-0.70260789991921	0.811244979919679	0.768485184568527	0.752895752895753	-1.07674338805226	0.356877323420074	0.718887088854138	0.827160493827161	0.674649266259914	0.910358565737052
