ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000137331	-1.40234094312296	-2.64330141244985	4.82942116046707	-15.6905128733053	4.94068381984539e-08	0.000382456950770063	7.56927726661915
ENSG00000168461	-0.783412933633984	-1.72119783848446	8.28562634350052	-15.2292846867977	6.46861650351057e-08	0.000382456950770063	7.41395406042982
ENSG00000108846	-0.73103296346406	-1.6598270953595	4.00293574190641	-12.0833512584992	5.11551267811483e-07	0.00201636458062359	6.08399006056576
ENSG00000204634	-0.745434468559456	-1.67647906609439	7.67249840887414	-11.1389694691024	1.04668957366693e-06	0.00309427605215286	5.56913822267072
ENSG00000125355	0.905445372270027	1.8731226545703	3.36144732991455	10.6986797866572	1.48849011683789e-06	0.00352027912632162	5.30632271201597
ENSG00000013619	0.653025377042603	1.57246224368841	5.65070182925264	10.1832310261224	2.28471262663837e-06	0.00450278780166646	4.97835542599043
ENSG00000142627	-0.69834788295286	-1.62264553913512	5.14853837863278	-9.22352933071625	5.34080091575003e-06	0.00812395390607378	4.30331173747182
ENSG00000175445	0.631652915374056	1.54933907595184	5.58832097033608	9.1924900025496	5.49612103582159e-06	0.00812395390607378	4.27996751654402
ENSG00000047617	0.802447039275037	1.74405681579835	4.74650470017382	8.83334677975787	7.70301728028431e-06	0.0101209088154847	4.00248222549851
ENSG00000139269	0.807438272906021	1.75010110813046	4.92888819034668	8.36804975470093	1.21311995044424e-05	0.0128155526981099	3.62187315140092
ENSG00000147804	-0.623405138835074	-1.54050689417738	7.13812563582496	-8.31578402070518	1.27819983950246e-05	0.0128155526981099	3.57756456754915
ENSG00000144560	-0.651189179221708	-1.57046215704735	5.88429421664256	-8.22851995669705	1.39553689331866e-05	0.0128155526981099	3.50286423889088
ENSG00000152661	0.908498832057797	1.8770913114734	9.31396300841981	8.21909558694445	1.40889797103957e-05	0.0128155526981099	3.49474231759576
ENSG00000106366	-0.849918257986862	-1.80239879977163	4.19429718875663	-7.99237945544876	1.77647420348578e-05	0.0150048624687281	3.29610967648347
ENSG00000109654	-0.518520325703815	-1.43248529147761	5.51079089626286	-7.5563274755658	2.8152132256464e-05	0.0221932642621791	2.89594499804866
ENSG00000135457	0.354175229500575	1.27825461036785	5.88805096490049	7.38826926999861	3.37978881084588e-05	0.0248008414962952	2.73509064963981
ENSG00000204389	-0.48209371777107	-1.39676926394341	10.2983503692547	-7.33962469116983	3.56544867177182e-05	0.0248008414962952	2.68782172921778
ENSG00000170965	0.531288681396577	1.4452195555412	3.46293420378497	7.22466200661104	4.04997536245712e-05	0.0266060881450308	2.57482476533662
ENSG00000132669	-0.521973393780684	-1.43591802914176	9.68517986055891	-7.15995062369459	4.35395301158774e-05	0.0270976286115921	2.51041700080156
ENSG00000026103	-0.401284311607325	-1.32068308210768	8.65069106759642	-7.02449355529842	5.07394306973249e-05	0.0299996883997934	2.37369661524269
ENSG00000136205	0.521323484476211	1.43527131844149	9.8139893616788	6.93080240155529	5.64744375853735e-05	0.0302879820687893	2.27760860722598
ENSG00000067369	0.472595927508788	1.38760402208011	6.15828768642331	6.89189574732965	5.90602234580259e-05	0.0302879820687893	2.23733638145022
ENSG00000179364	0.336600918068484	1.26277790072785	4.41640140920788	6.87027666001923	6.05525440213363e-05	0.0302879820687893	2.2148639673723
ENSG00000133048	-0.715933695227214	-1.64254591005724	4.57187539091759	-6.85723723599477	6.14724371797839e-05	0.0302879820687893	2.20127711622759
ENSG00000139318	-0.451197286456194	-1.36717439827695	3.31535169358565	-6.81489335317998	6.45661174625612e-05	0.0305397735597914	2.15698504724385
ENSG00000171703	0.558214917822182	1.47244619567302	7.66025523841815	6.70673266818838	7.32649110094686e-05	0.0333214451033449	2.04265657272788
ENSG00000244405	-0.394287911266596	-1.31429388788504	2.5957912485808	-6.51270163010488	9.22383634139483e-05	0.0403969869396274	1.83320928501571
ENSG00000039987	0.420403336110956	1.33830165320718	3.23435770392592	6.40960946797846	0.000104441782242047	0.0441080026790073	1.71961656456802
ENSG00000171223	-0.459492554145309	-1.37505807748042	4.50975903830023	-6.38026344683885	0.000108228374479465	0.04413105269723	1.68698481039656
ENSG00000068615	0.3371495557079	1.26325820960557	3.37150795756489	6.30800116633899	0.000118203154111099	0.0465917432454583	1.60606704923335
ENSG00000154380	-0.415543223511266	-1.33380080369685	11.0599576059615	-6.21803471630845	0.000132039055248367	0.0493927259106751	1.50419464499482
ENSG00000167720	0.479777956416179	1.39452901942759	6.91809360899968	6.18401068876531	0.000137721295352854	0.0493927259106751	1.46533917724308
ENSG00000114315	-0.541619568956621	-1.4556056628809	3.06476044882956	-6.16112416018888	0.000141692390984562	0.0493927259106751	1.43910074010684
ENSG00000050165	-0.505795349144947	-1.41990592610982	7.64481074462068	-6.15928338560843	0.00014201714003915	0.0493927259106751	1.43698679847048
ENSG00000149591	-1.02395128155341	-2.03348067670589	8.31281457314807	-6.11298952895548	0.000150455457399913	0.0502264307093354	1.38364779288689
ENSG00000185567	0.588428651194939	1.5036081613052	7.96194050419755	6.07142850048989	0.000158495213219816	0.0502264307093354	1.33547391919537
ENSG00000186141	0.316033904141599	1.24490349096779	7.6736935490871	6.04413309827366	0.000164027948715861	0.0502264307093354	1.30368675464206
ENSG00000109680	0.495801603600146	1.41010403259775	3.3974374081098	6.03329883682479	0.000166281740997698	0.0502264307093354	1.29103682212948
ENSG00000075826	0.399688587970644	1.31922311996169	3.83378855198444	5.99936005883541	0.000173561692431537	0.0502264307093354	1.25128957296222
ENSG00000151702	-0.469552075758864	-1.38467948964289	3.17852286214693	-5.97776629738317	0.00017837283121867	0.0502264307093354	1.22590461699648
ENSG00000118298	-0.404900957167557	-1.3239980131434	2.55803079822299	-5.96826501525196	0.000180535318413605	0.0502264307093354	1.21471162742255
ENSG00000187535	0.493689899578296	1.40804154256553	3.8845383311164	5.9268528122051	0.000190297808488575	0.0502264307093354	1.1657573628196
ENSG00000070759	0.408494993920935	1.32730046410264	4.83529372257208	5.91724375833152	0.000192643790930305	0.0502264307093354	1.15435902227995
ENSG00000160255	0.477185286449224	1.39202515922804	3.71370579815657	5.91675709878417	0.000192763435308377	0.0502264307093354	1.15378134854558
ENSG00000213063	-0.832520426052556	-1.78079373967583	6.64031907376926	-5.90136067601556	0.000196590447255626	0.0502264307093354	1.13548588655861
ENSG00000127423	0.437117590440657	1.35389662726082	6.50480961033214	5.87027622307633	0.000204569910796082	0.0502264307093354	1.09843233471003
ENSG00000077514	0.401864959614727	1.32121473038968	9.50271301637952	5.85782129257386	0.000207864870622134	0.0502264307093354	1.08354205656054
ENSG00000111348	-0.502154871076223	-1.4163274706126	2.84683235459795	-5.84729239421847	0.000210695096660748	0.0502264307093354	1.07093490853233
ENSG00000130147	-0.366137959271143	-1.2888978768434	7.54130743052493	-5.84542420564022	0.000211201616648511	0.0502264307093354	1.06869609915381
ENSG00000116726	-0.388663725056547	-1.30918023327679	2.91129807057891	-5.829765453731	0.000215499315114213	0.0502264307093354	1.04990873418694
