ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GOterm
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	115/627	265/12465	5.95555053155893e-80	8.09359317238859e-77	5.54179649462957e-77	90/650/658/6346/6356/6357/6358/6359/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/10344/6348/6349/414062/6351/6352/6354/6355/1230/729230/1232/1233/1234/1235/1236/958/959/1270/1435/1436/6376/2919/3627/6373/10563/2920/2921/6374/6372/3576/4283/3579/2833/7852/10663/1956/2056/3082/3440/3458/3459/3586/3588/3593/3596/3600/3605/27190/23765/55540/3606/8809/8807/3552/3553/3554/7850/3556/3558/50604/53833/59067/50616/116379/51561/149233/64806/3559/3565/3566/3567/3568/3569/3570/3572/3578/3815/3952/4049/5008/9180/5196/5197/5473/7040/7124/8792/7132/7133/7293/8600/7292/85480/6375/6846/2829	115	ann_GO0006954.txt.txt
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	97/627	321/12465	4.56171472301281e-50	3.0996851542872e-47	2.12239779744385e-47	2532/134/135/136/140/183/185/186/301/351/623/624/718/719/727/728/27202/6346/6357/6360/6363/6364/6366/6368/6370/6352/1230/729230/1232/1233/1234/1235/1236/9034/1240/1268/1269/6376/2919/3627/6373/10563/2920/2921/6374/6372/3576/4283/3579/2833/7852/10663/10800/1910/2147/2149/2150/2867/2865/338557/2357/2358/2359/51083/51738/2693/2852/2840/8111/3269/59340/3827/1241/56413/8620/4889/4988/5196/5473/60675/5724/5729/5731/5732/5733/5734/5737/5739/1903/6288/56670/6863/6869/6915/6375/6846/2829	97	ann_GO0006954.txt.txt
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	71/627	189/12465	7.71384991827566e-44	3.49437401297887e-41	2.39264678166866e-41	107/113/114/207/6346/6356/6357/6358/6359/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/10344/6348/6349/414062/6351/6352/6354/6355/1230/729230/1232/1233/1234/1235/1236/1147/6376/2919/3627/6373/10563/2920/2921/6374/6372/3576/4283/3579/2833/7852/10663/3055/3551/8517/3717/4067/4790/4792/5196/5197/5293/5294/5473/5580/5590/5879/5970/6774/6375/6846/2829	71	ann_GO0006954.txt.txt
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING	106/627	454/12465	5.39372632084727e-43	1.83251851750786e-40	1.25475107042868e-40	2532/116/30817/133/134/135/136/140/183/185/186/301/351/623/624/718/719/727/728/27202/10203/6346/6357/6360/6363/6364/6366/6368/6370/6352/1230/729230/1232/1233/1234/1235/1236/9034/1240/1268/1269/1392/1393/6376/2919/3627/6373/10563/2920/2921/6374/6372/3576/4283/3579/2833/7852/10663/10800/1910/2147/2149/2150/2867/2865/338557/2357/2358/2359/51083/51738/2693/2852/2840/8111/3269/59340/3827/1241/56413/8620/4889/4988/5196/5473/60675/5724/5729/5731/5732/5733/5734/5737/5739/1903/6288/6608/56670/6863/6869/6915/7349/7474/6375/6846/2829	106	ann_GO0006954.txt.txt
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	69/627	188/12465	7.91861361725629e-42	2.15227918117026e-39	1.47369567108517e-39	2532/183/185/186/301/351/623/624/718/719/727/728/27202/6346/6357/6360/6363/6364/6366/6368/6370/6352/1230/729230/1232/1233/1234/1235/1236/9034/6376/2919/3627/6373/10563/2920/2921/6374/6372/3576/4283/3579/2833/7852/10663/1910/2147/2149/2150/2357/2358/2359/51083/51738/2693/2852/3827/8620/4889/4988/5196/5473/60675/6288/6863/6869/6375/6846/2829	69	ann_GO0006954.txt.txt
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	36/627	46/12465	1.73116826491379e-38	3.92109612002973e-36	2.6848293792698e-36	6363/6347/6364/6367/6348/6349/414062/6351/6352/1230/729230/1234/1435/2919/3627/2920/3576/2357/3383/3586/3588/3593/3606/3552/3553/3554/7850/3557/3569/5724/5743/6774/7076/7124/7132/7133	36	ann_GO0006954.txt.txt
Regulation of toll-like receptor signaling pathway%WikiPathways_20190910%WP1449%Homo sapiens	Regulation of toll-like receptor signaling pathway%WikiPathways_20190910%WP1449%Homo sapiens	58/627	145/12465	1.0716545806358e-37	2.08054082154864e-35	1.4245754124542e-35	207/695/6348/6351/6352/929/4064/958/1147/79004/3627/6373/3576/4283/1540/2353/3440/3551/8517/3593/3553/3569/3656/3661/3725/3929/23643/5606/5603/1432/4153/4615/4790/4792/5293/5294/5879/5970/59307/6696/6850/29110/148022/353376/114609/7096/7097/7098/7099/7100/10333/51284/51311/54106/7124/7128/54472/54210	58	ann_GO0006954.txt.txt
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	36/627	48/12465	2.69117042294014e-37	4.57162575596957e-35	3.13025612352511e-35	6346/6357/6360/6363/6364/6366/6370/6352/1230/729230/1232/1233/1234/1235/1236/9034/6376/2919/3627/6373/10563/2920/2921/6374/6372/3576/4283/3579/2833/7852/10663/5196/5473/6375/6846/2829	36	ann_GO0006954.txt.txt
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	51/627	111/12465	6.8632866296264e-37	1.03635628107359e-34	7.09607646852601e-35	207/246/240/301/604/6356/6347/6367/948/3576/2335/2353/2625/3082/3091/3162/3383/3586/3593/3596/3605/112744/3606/3552/3553/51561/149233/3565/3566/3569/3570/3684/3689/3717/3929/4314/4318/4843/4988/5008/5743/6095/6288/9021/9655/6774/7040/7076/7124/7133/7412	51	ann_GO0006954.txt.txt
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	48/627	102/12465	2.19091948804046e-35	2.97745958424698e-33	2.03870823939764e-33	207/6348/6351/6352/929/958/1147/3627/6373/3576/4283/2353/3440/3551/8517/3593/3553/3569/3661/3725/3929/23643/5606/5603/1432/4615/4790/4792/5293/5294/5879/5970/6696/29110/148022/353376/114609/7096/7097/7098/7099/7100/10333/51284/51311/54106/7124/54472	48	ann_GO0006954.txt.txt
