ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GOterm
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	33/245	37/12465	3.26267113973651e-53	3.94783207908118e-50	2.28730418848897e-50	538/847/9973/1535/1536/54205/30001/2876/2877/2878/2880/2882/493869/2936/2950/653361/4688/4689/50507/79400/318/5034/5052/7001/10935/25824/9588/6647/6648/6649/7295/7296/10587	33	ann_GO0034599.txt.txt
REACTOME_CELLULAR_RESPONSES_TO_STRESS	REACTOME_CELLULAR_RESPONSES_TO_STRESS	61/245	440/12465	4.07946870604812e-35	2.46807856715911e-32	1.4299611359095e-32	405/538/9529/847/57332/890/9973/1017/1535/1536/54205/2034/30001/2113/2146/2353/2876/2877/2878/2880/2882/493869/2936/2950/10013/3091/3297/3303/3304/3315/3569/3725/23135/4217/5594/5595/5598/5599/5601/4193/653361/4688/4689/50507/79400/318/5034/5052/7001/10935/25824/9588/5970/23411/6647/6648/6649/7157/7295/7296/10587	61	ann_GO0034599.txt.txt
VEGFA-VEGFR2 Signaling Pathway%WikiPathways_20190910%WP3888%Homo sapiens	VEGFA-VEGFR2 Signaling Pathway%WikiPathways_20190910%WP3888%Homo sapiens	37/245	238/12465	5.07935838683576e-23	2.04867454935709e-20	1.18696585460794e-20	207/301/468/596/10645/1398/1499/2113/2308/2309/2534/3303/3315/3725/4217/5594/5595/5599/5601/79109/4313/653361/4688/4846/4929/8013/5562/5563/5580/5587/5829/10399/5970/6648/6714/6778/7295	37	ann_GO0034599.txt.txt
Oxidative Stress%WikiPathways_20190910%WP408%Homo sapiens	Oxidative Stress%WikiPathways_20190910%WP408%Homo sapiens	18/245	34/12465	1.70617973000312e-22	5.16119368325945e-20	2.99030447416337e-20	847/1536/2353/2876/2878/2936/3162/4257/4780/27035/50507/79400/1728/6647/6648/6649/7296/10587	18	ann_GO0034599.txt.txt
AGE/RAGE pathway%WikiPathways_20190910%WP2324%Homo sapiens	AGE/RAGE pathway%WikiPathways_20190910%WP2324%Homo sapiens	21/245	66/12465	2.49964604243529e-20	6.04914342269339e-18	3.50476687213032e-18	207/1147/54205/1956/2308/3091/3630/3717/3725/5594/5595/5599/5601/4313/4318/653361/4846/5580/5970/6647/6714	21	ann_GO0034599.txt.txt
Selenium Micronutrient Network%WikiPathways_20190910%WP15%Homo sapiens	Selenium Micronutrient Network%WikiPathways_20190910%WP15%Homo sapiens	23/245	92/12465	1.68717521083436e-19	3.40247000851596e-17	1.97133103581699e-17	847/2876/2877/2878/2936/3569/3630/4353/4548/5052/7001/10935/25824/5970/57190/55829/6647/6648/6649/7124/7295/7296/10587	23	ann_GO0034599.txt.txt
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	37/245	325/12465	2.74530415770814e-18	4.74545432975264e-16	2.74943243463703e-16	25/207/405/596/1017/1147/1398/1499/54205/1612/1956/2034/2113/2353/2308/8321/2950/3066/3082/3091/3569/3725/5594/5595/5599/5601/4193/4233/4313/4318/5156/5371/5970/7157/7186/7471/51384	37	ann_GO0034599.txt.txt
Photodynamic therapy-induced AP-1 survival signaling.%WikiPathways_20190910%WP3611%Homo sapiens	Photodynamic therapy-induced AP-1 survival signaling.%WikiPathways_20190910%WP3611%Homo sapiens	17/245	51/12465	4.55798729688665e-17	6.89395578654106e-15	3.99423623648225e-15	596/890/8837/1956/2353/3569/3725/4217/5603/5599/4170/4313/4780/5156/7124/7157/7186	17	ann_GO0034599.txt.txt
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway%WikiPathways_20190910%WP2380%Homo sapiens	Brain-Derived Neurotrophic Factor (BDNF) signaling pathway%WikiPathways_20190910%WP2380%Homo sapiens	24/245	144/12465	5.95034526891965e-16	7.9999086393253e-14	4.63500578842162e-14	207/1147/1499/1965/2353/2309/2534/3717/3725/5594/5595/5598/5599/5601/4137/653361/4688/5562/5563/5580/10399/5970/140885/6714	24	ann_GO0034599.txt.txt
TNF alpha Signaling Pathway%WikiPathways_20190910%WP231%Homo sapiens	TNF alpha Signaling Pathway%WikiPathways_20190910%WP231%Homo sapiens	20/245	94/12465	1.26409479179526e-15	1.52955469807227e-13	8.86196980353309e-14	207/8837/1147/1535/56616/3569/3725/4217/5594/5595/5599/5601/27035/8737/11035/7124/7128/7186/10131/7295	20	ann_GO0034599.txt.txt
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	21/245	111/12465	2.98206983092963e-15	3.28027681402259e-13	1.90053445684127e-13	207/301/596/948/2353/2308/2309/3082/3091/3162/3586/3569/3717/3934/4170/4313/4314/4318/6778/7124/7157	21	ann_GO0034599.txt.txt
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway%WikiPathways_20190910%WP2036%Homo sapiens	TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway%WikiPathways_20190910%WP2036%Homo sapiens	14/245	42/12465	2.87198495825164e-14	2.89591816623707e-12	1.67784384403122e-12	207/1147/1499/3569/3725/5594/5595/5599/5601/4318/5970/8737/7124/7186	14	ann_GO0034599.txt.txt
RAC1/PAK1/p38/MMP2 Pathway%WikiPathways_20190910%WP3303%Homo sapiens	RAC1/PAK1/p38/MMP2 Pathway%WikiPathways_20190910%WP3303%Homo sapiens	16/245	69/12465	2.30172073744437e-13	2.11553226126793e-11	1.22570203219177e-11	207/1147/1398/1499/1956/2308/5594/5603/5595/5599/5601/4313/5829/5970/6714/7157	16	ann_GO0034599.txt.txt
Apoptosis Modulation and Signaling%WikiPathways_20190910%WP1772%Homo sapiens	Apoptosis Modulation and Signaling%WikiPathways_20190910%WP1772%Homo sapiens	18/245	94/12465	2.44772327750008e-13	2.11553226126793e-11	1.22570203219177e-11	9131/596/664/8837/54205/56616/2021/2353/3303/27429/3725/4217/5595/5599/4170/5587/8737/7157	18	ann_GO0034599.txt.txt
Nuclear Receptors Meta-Pathway%WikiPathways_20190910%WP2882%Homo sapiens	Nuclear Receptors Meta-Pathway%WikiPathways_20190910%WP2882%Homo sapiens	30/245	322/12465	1.15788553742403e-12	9.10732048804925e-11	5.2766206568428e-11	405/983/1545/1956/2168/2308/2539/2877/2878/2936/2950/3082/3162/3303/3725/9817/4257/4780/1728/10891/5052/9588/23657/6649/6714/140809/7124/7128/7295/7296	30	ann_GO0034599.txt.txt
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	17/245	89/12465	1.2042737835437e-12	9.10732048804925e-11	5.2766206568428e-11	207/468/596/1017/1147/1499/1956/2308/2950/3630/5594/5595/4193/80310/5156/5970/7157	17	ann_GO0034599.txt.txt
Oncostatin M Signaling Pathway%WikiPathways_20190910%WP2374%Homo sapiens	Oncostatin M Signaling Pathway%WikiPathways_20190910%WP2374%Homo sapiens	15/245	66/12465	1.80959494832539e-12	1.25885335090379e-10	7.2935740034965e-11	207/1017/2353/3091/3717/5594/5595/5599/5601/4314/5580/5829/5970/6714/7157	15	ann_GO0034599.txt.txt
Spinal Cord Injury%WikiPathways_20190910%WP2431%Homo sapiens	Spinal Cord Injury%WikiPathways_20190910%WP2431%Homo sapiens	19/245	120/12465	1.87267440630316e-12	1.25885335090379e-10	7.2935740034965e-11	199/301/328/358/383/983/1017/1956/2353/2309/3569/5594/5595/4318/50507/388/7099/7124/7157	19	ann_GO0034599.txt.txt
Hepatitis B infection%WikiPathways_20190910%WP4666%Homo sapiens	Hepatitis B infection%WikiPathways_20190910%WP4666%Homo sapiens	21/245	154/12465	2.47021081833017e-12	1.57313425798921e-10	9.11446207760606e-11	207/468/596/1147/54205/2353/3569/3717/3725/5594/5603/5595/5599/5601/4318/5111/5970/6714/6778/7099/7124	21	ann_GO0034599.txt.txt
Viral Acute Myocarditis%WikiPathways_20190910%WP4298%Homo sapiens	Viral Acute Myocarditis%WikiPathways_20190910%WP4298%Homo sapiens	16/245	85/12465	7.15697436548015e-12	4.32996949111549e-10	2.50870785653146e-10	25/199/207/596/54205/2021/2534/3586/3569/5594/5595/4318/142/6714/7099/7124	16	ann_GO0034599.txt.txt
Folate Metabolism%WikiPathways_20190910%WP176%Homo sapiens	Folate Metabolism%WikiPathways_20190910%WP176%Homo sapiens	15/245	73/12465	8.67720014966757e-12	4.99972008623703e-10	2.89674952364842e-10	847/1719/2876/2877/2878/3569/3630/4353/4548/5970/6647/6648/6649/7124/7157	15	ann_GO0034599.txt.txt
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling%WikiPathways_20190910%WP3612%Homo sapiens	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling%WikiPathways_20190910%WP3612%Homo sapiens	10/245	24/12465	1.10376452281521e-11	6.07070487548365e-10	3.51725919710492e-10	2353/2950/3162/3725/9817/5603/5599/4780/1728/140809	10	ann_GO0034599.txt.txt
MAPK Signaling Pathway%WikiPathways_20190910%WP382%Homo sapiens	MAPK Signaling Pathway%WikiPathways_20190910%WP382%Homo sapiens	25/245	249/12465	1.95964874808666e-11	9.92799515510403e-10	5.75210506594109e-10	207/468/1147/1398/1956/2353/3303/3304/3315/3725/120892/4217/5594/5603/5595/5598/5599/5601/4137/5536/5580/5970/7124/7157/7186	25	ann_GO0034599.txt.txt
REACTOME_SIGNALING_BY_VEGF	REACTOME_SIGNALING_BY_VEGF	17/245	105/12465	1.96918912167353e-11	9.92799515510403e-10	5.75210506594109e-10	207/558/1398/1499/1535/1536/2534/3315/5603/79109/653361/4688/4689/4846/5580/5829/6714	17	ann_GO0034599.txt.txt
Corticotropin-releasing hormone signaling pathway%WikiPathways_20190910%WP2355%Homo sapiens	Corticotropin-releasing hormone signaling pathway%WikiPathways_20190910%WP2355%Homo sapiens	16/245	93/12465	3.01191673125291e-11	1.45776769792641e-09	8.44604860216607e-10	207/596/1499/2353/4217/5594/5595/5599/5601/4846/4929/142/5563/5580/5970/7099	16	ann_GO0034599.txt.txt
Selenium Metabolism and Selenoproteins%WikiPathways_20190910%WP28%Homo sapiens	Selenium Metabolism and Selenoproteins%WikiPathways_20190910%WP28%Homo sapiens	12/245	46/12465	5.47108794412055e-11	2.54616015860995e-09	1.47520023108675e-09	2168/2353/2876/2877/2878/3725/4780/5970/57190/55829/7296/10587	12	ann_GO0034599.txt.txt
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway%WikiPathways_20190910%WP2203%Homo sapiens	Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway%WikiPathways_20190910%WP2203%Homo sapiens	12/245	47/12465	7.22014971615168e-11	3.15112007883077e-09	1.82570332535998e-09	207/695/2534/3569/3717/5594/5595/5599/5601/5970/6714/6778	12	ann_GO0034599.txt.txt
REACTOME_TP53_REGULATES_METABOLIC_GENES	REACTOME_TP53_REGULATES_METABOLIC_GENES	15/245	84/12465	7.29184811630261e-11	3.15112007883077e-09	1.82570332535998e-09	207/54205/2539/2877/2936/5052/7001/25824/5562/5563/83667/7157/7248/7295/7296	15	ann_GO0034599.txt.txt
