ENSG_ID	hgnc_symbol	entrezgene_id	THP1_L_logFC	THP1_L_FC	THP1_L_pval	THP1_H_logFC	THP1_H_FC	THP1_H_pval
ENSG00000000003	TSPAN6	7105	-0.0288990047270152	-1.02023323574043	0.796107903355198	-0.256336678115324	-1.19444189845572	0.0427288506722791
ENSG00000000005	TNMD	64102	0.0798954470111832	1.05694144059547	0.313797194641109	0.0793052154190839	1.05650911594125	0.317181629361157
ENSG00000000419	DPM1	8813	0.215602861521228	1.16118904112889	0.0622799205418526	0.3429593368865	1.26835564955539	0.00812283507440346
ENSG00000000457	SCYL3	57147	-0.0845237694552541	-1.06033766839766	0.535342773363688	-0.378862777787167	-1.30031646081923	0.0180509039679994
ENSG00000000460	C1orf112	55732	-0.0837281515216342	-1.05975307424395	0.577510367993257	0.231034070884496	1.17367589564543	0.145449944911684
ENSG00000000938	FGR	2268	-0.0128047649824339	-1.00891509155497	0.847930235901321	0.154685560038933	1.11317897089854	0.0411370480316854
ENSG00000000971	CFH	3075	0.0521879519437067	1.03683616953689	0.594725959382456	0.0996669152685432	1.07152604353331	0.319787060367507
ENSG00000001084	GCLC	2729	0.142471887513093	1.10379471845711	0.349976022887141	0.0500792205600913	1.03532177336022	0.736862217677143
ENSG00000001167	NFYA	4800	0.00485236147738988	1.0033690632559	0.939668414134545	-0.0122412652093313	-1.00852109809535	0.848708780540853
ENSG00000001461	NIPAL3	57185	0.0754162636172229	1.05366500812212	0.266751517222412	0.0545607590168067	1.03854286180215	0.413844333475818
ENSG00000001497	LAS1L	81887	-0.053038161694948	-1.03744737841967	0.683350022798408	-0.208378878160747	-1.15538917108775	0.13238387356843
ENSG00000001561	ENPP4	22875	0.176980818580037	1.13051553620204	0.297987979233644	-0.144220693608684	-1.10513352762987	0.391455125021155
ENSG00000001617	SEMA3F	6405	0.0394025202540029	1.02768813031044	0.631281238045321	0.0268322570075066	1.01877273643084	0.742910943128304
ENSG00000001626	CFTR	1080	-0.027034917205514	-1.01891585689685	0.653611038420411	-0.0307980973555435	-1.021577104783	0.609822228673603
ENSG00000002016	RAD52	5893	-0.0389778504687208	-1.02738566592374	0.490769659116843	-0.128311011978314	-1.09301334232496	0.0424462941995129
ENSG00000002330	BAD	572	-0.068469533364846	-1.04860369406681	0.300814470270029	-0.119981168562927	-1.08672067751465	0.0866969736663568
ENSG00000002549	LAP3	51056	0.102112743012732	1.07334416228049	0.36341015649647	-0.307513804120333	-1.23757315183711	0.0182103156695892
ENSG00000002586	CD99	4267	-0.0988147075299981	-1.07089327423108	0.153240751813485	-0.144086334965365	-1.10503061098895	0.0491082238555876
ENSG00000002587	HS3ST1	9957	-0.0278985715689779	-1.01952600287517	0.79296255958948	-0.296991322568197	-1.22857959083983	0.0183659867157724
ENSG00000002726	AOC1	26	0.099258866644687	1.07122301837021	0.484482353847353	0.07412146559916	1.05271978318105	0.599337164466953
ENSG00000002745	WNT16	51384	0.0834191094286454	1.05952608709608	0.487382585564819	0.0370889739292934	1.02604142144145	0.754814807249448
ENSG00000002746	HECW1	23072	0.0315108572941867	1.02208193713579	0.656886895563992	0.0642893443262538	1.04556977677482	0.373221894509871
ENSG00000002822	MAD1L1	8379	-0.10158095602806	-1.07294859339466	0.680856630775086	0.0452538440785748	1.03186472127635	0.854044685783918
ENSG00000002834	LASP1	3927	0.0402637373223342	1.02830179207218	0.547592618807292	0.0578910521127654	1.0409429859068	0.39242744704848
ENSG00000002919	SNX11	29916	0.15759580560364	1.11542677365671	0.037877579037702	0.396664548683932	1.31646078678068	0.000179333199841764
ENSG00000002933	TMEM176A	55365	0.135389158260381	1.09838905763437	0.621306815556287	0.716958181498569	1.64371272862338	0.0241998467968295
ENSG00000003056	M6PR	4074	-0.529526542980015	-1.44345541122975	0.00390009447444578	-0.498535588538511	-1.41277878942083	0.00551614234238186
