ENSG_ID	hgnc_symbol	entrezgene_id	TiO2_24hrs_10_Caco2-logFC	TiO2_24hrs_10_Caco2-P.Value	TiO2_24hrs_100_Caco2-logFC	TiO2_24hrs_100_Caco2-P.Value	TiO2_24hrs_10_SAE-logFC	TiO2_24hrs_10_SAE-P.Value	TiO2_24hrs_100_SAE-logFC	TiO2_24hrs_100_SAE-P.Value	TiO2_24hrs_10_THP1-logFC	TiO2_24hrs_10_THP1-P.Value	TiO2_24hrs_100_THP1-logFC	TiO2_24hrs_100_THP1-P.Value
ENSG00000000003	TSPAN6	7105	-0.026641846892236	0.555886081261363	-0.0190006045374691	0.672937334549414	-0.0489512637217864	0.563860980943482	0.0174250513707133	0.835922430572164	-0.0288990047270152	0.796107903355198	-0.256336678115324	0.0427288506722791
ENSG00000000005	TNMD	64102	0.0256681282757931	0.730534443660805	0.183982757402733	0.0313944260607029	0.093437422497044	0.133892820681439	0.0552993874387202	0.355830586156463	0.0798954470111832	0.313797194641109	0.0793052154190839	0.317181629361157
ENSG00000000419	DPM1	8813	-0.0129723196400366	0.787393826872125	0.0365128866307316	0.454252357869976	0.118015350804901	0.224376672404182	0.172880969945703	0.0878109813244158	0.215602861521228	0.0622799205418526	0.3429593368865	0.00812283507440346
ENSG00000000457	SCYL3	57147	-0.00354078579561978	0.935470742418192	-0.0744087826259001	0.114164892698413	-0.227649101868366	0.0433038452413971	-0.23477973024685	0.0383403467407661	-0.0845237694552541	0.535342773363688	-0.378862777787167	0.0180509039679994
ENSG00000000460	C1orf112	55732	-0.043861476680342	0.3859680408468	0.0243175244310034	0.625574557217475	-0.366027861469442	0.000615969469918856	-0.196376449366633	0.0232976910763065	-0.0837281515216342	0.577510367993257	0.231034070884496	0.145449944911684
ENSG00000000938	FGR	2268	-0.0721701858012134	0.40846211303158	-0.0860740757285776	0.328113518996773	0.14142406174112	0.0722843372346936	0.0731166707829431	0.321321985344176	-0.0128047649824339	0.847930235901321	0.154685560038933	0.0411370480316854
ENSG00000000971	CFH	3075	-0.0362925423301266	0.692571381327546	-0.135838111559007	0.160818902741535	0.042425433246303	0.557933521406462	0.0845695761754635	0.255564120623076	0.0521879519437067	0.594725959382456	0.0996669152685432	0.319787060367507
ENSG00000001084	GCLC	2729	-0.0667190413580965	0.176383632307103	-0.00983453422595559	0.833586101966671	-0.0562188141886955	0.499425583732745	-0.00236220171843637	0.977069227638245	0.142471887513093	0.349976022887141	0.0500792205600913	0.736862217677143
ENSG00000001167	NFYA	4800	0.0223981927450305	0.574616899849906	0.0459841620750798	0.262422259492795	-0.0419553198995066	0.447962483679703	0.0395173018959207	0.4739940046827	0.00485236147738988	0.939668414134545	-0.0122412652093313	0.848708780540853
ENSG00000001461	NIPAL3	57185	-0.0471371608446991	0.448656355341961	-0.082145619944114	0.20079198660527	0.14960436610673	0.262871385014505	0.139544565560003	0.294214764963691	0.0754162636172229	0.266751517222412	0.0545607590168067	0.413844333475818
ENSG00000001497	LAS1L	81887	0.00758056800103724	0.8872271285309	0.021456352499384	0.689331577546352	-0.114696611161436	0.263485639302443	-0.15331566294355	0.144960535655505	-0.053038161694948	0.683350022798408	-0.208378878160747	0.13238387356843
ENSG00000001561	ENPP4	22875	0.0621389720756076	0.573384400477757	0.0596250520129433	0.588724354320062	-0.138109799976703	0.332646581812745	-0.0731884561015934	0.60088842729526	0.176980818580037	0.297987979233644	-0.144220693608684	0.391455125021155
