ENSG_ID	hgnc_symbol	entrezgene_id	caco2_L_logFC	caco2_L_FC	caco2_L_pval	caco2_H_logFC	caco2_H_FC	caco2_H_pval
ENSG00000000003	TSPAN6	7105	-0.026641846892236	-1.01863828540135	0.555886081261363	-0.0190006045374691	-1.0132573247477	0.672937334549414
ENSG00000000005	TNMD	64102	0.0256681282757931	1.01795100750233	0.730534443660805	0.183982757402733	1.13601568743493	0.0313944260607029
ENSG00000000419	DPM1	8813	-0.0129723196400366	-1.0090322737972	0.787393826872125	0.0365128866307316	1.02563179125994	0.454252357869976
ENSG00000000457	SCYL3	57147	-0.00354078579561978	-1.00245729991575	0.935470742418192	-0.0744087826259001	-1.05292945634819	0.114164892698413
ENSG00000000460	C1orf112	55732	-0.043861476680342	-1.030869333012	0.3859680408468	0.0243175244310034	1.01699848104159	0.625574557217475
ENSG00000000938	FGR	2268	-0.0721701858012134	-1.05129691676129	0.40846211303158	-0.0860740757285776	-1.06147770952952	0.328113518996773
ENSG00000000971	CFH	3075	-0.0362925423301266	-1.02547515742105	0.692571381327546	-0.135838111559007	-1.09873091929786	0.160818902741535
ENSG00000001084	GCLC	2729	-0.0667190413580965	-1.04733214381649	0.176383632307103	-0.00983453422595559	-1.00684006679771	0.833586101966671
ENSG00000001167	NFYA	4800	0.0223981927450305	1.0156463868653	0.574616899849906	0.0459841620750798	1.0323872018609	0.262422259492795
ENSG00000001461	NIPAL3	57185	-0.0471371608446991	-1.03321261327881	0.448656355341961	-0.082145619944114	-1.058591239505	0.20079198660527
ENSG00000001497	LAS1L	81887	0.00758056800103724	1.00526827816623	0.8872271285309	0.021456352499384	1.01498355484572	0.689331577546352
ENSG00000001561	ENPP4	22875	0.0621389720756076	1.04401249032018	0.573384400477757	0.0596250520129433	1.04219486530225	0.588724354320062
ENSG00000001617	SEMA3F	6405	-0.0137723399789897	-1.00959196949316	0.722334995717517	0.0221440785725036	1.01546750816579	0.569990933833705
ENSG00000001626	CFTR	1080	-0.000763816067086864	-1.00052957712985	0.989372487786663	0.0220716088080164	1.01541650026683	0.701528812466222
ENSG00000002016	RAD52	5893	0.0118595477289234	1.00825429243154	0.828274422233958	0.0307329178737299	1.02153095202007	0.576985749922233
ENSG00000002330	BAD	572	0.0319859500901538	1.02241857357928	0.55500912217767	0.0207002085042971	1.01445172198452	0.700789890561259
ENSG00000002549	LAP3	51056	0.0316534270437998	1.02218294612385	0.553136857803348	0.0388543270518653	1.02729770502307	0.468883634035299
ENSG00000002586	CD99	4267	-0.0177138350179327	-1.01235398251599	0.643911921442208	0.0196464782107633	1.01371104693046	0.608691662624274
ENSG00000002587	HS3ST1	9957	-0.0787247488079368	-1.05608411627641	0.237316920486024	0.0856526069418182	1.06116765482818	0.201691989774993
ENSG00000002726	AOC1	26	0.0126565766692321	1.00881146484033	0.901797123054176	0.178734857090189	1.13189086062763	0.106731645875993
ENSG00000002745	WNT16	51384	-0.112705284430257	-1.08125386101342	0.434964922549608	-0.0522808028916213	-1.03690290180982	0.713444278039409
ENSG00000002746	HECW1	23072	-0.0811429875571541	-1.05785580401601	0.0789228616289123	-0.0708153611387377	-1.05031011471819	0.117869429325186
ENSG00000002822	MAD1L1	8379	-0.0381737446185615	-1.02681319799591	0.630889573395925	0.00705090939821629	1.00489928038833	0.928822865211189
ENSG00000002834	LASP1	3927	-0.014240718348864	-1.00991979193368	0.75932207907298	0.0574656292249305	1.04063607718917	0.234432574656828
ENSG00000002919	SNX11	29916	-0.0470817442448688	-1.03317292642286	0.27870505333723	0.0160382962563563	1.01117892218101	0.703672227491545
ENSG00000002933	TMEM176A	55365	0.0349751777753582	1.02453919521811	0.591349739679667	0.140420707970355	1.10222649208653	0.0523278264749786
ENSG00000003056	M6PR	4074	-0.206877801918406	-1.15418765223299	0.0607122253197221	-0.422940579313584	-1.34065737241091	0.00177268476412491
ENSG00000003137	CYP26B1	56603	-0.0567070872134796	-1.04008907405947	0.393127883610029	-0.0158630601372565	-1.01105610737677	0.807519852239592
ENSG00000003147	ICA1	3382	-0.0597944281262297	-1.04231722884624	0.357908311227758	0.0139036218800968	1.00968384419987	0.826775466117636
ENSG00000003249	DBNDD1	79007	-0.0773954142784161	-1.05511146269973	0.320631673029832	0.168736269350903	1.12407341970309	0.047690653922353
ENSG00000003400	CASP10	843	-0.0374352403065066	-1.02628771485458	0.354591368004122	0.00781055388982921	1.00542854484832	0.843169762781266
ENSG00000003402	CFLAR	8837	-0.00141622914429362	-1.0009821372196	0.984608445826176	-0.104310251131447	-1.07498032219291	0.178111979887209
ENSG00000003436	TFPI	7035	0.0278747586775712	1.01950917488246	0.549335590173721	0.151628495321454	1.11082264674817	0.00809785857582087
ENSG00000003509	NDUFAF7	55471	0.0730472015015389	1.0519361954556	0.363850464291477	0.129007597627043	1.09354121635689	0.125498736835031
ENSG00000003756	RBM5	10181	-0.122876853703917	-1.08890406414289	0.115704412942924	-0.0827311004650841	-1.05902092860188	0.271228392795533
ENSG00000003987	MTMR7	9108	0.02491727435988	1.01742135042738	0.773134849097872	-0.0270119785753999	-1.01889965641962	0.754752363860214
ENSG00000003989	SLC7A2	6542	-0.00152999370583995	-1.00106107336392	0.985624055344527	0.0408953056739931	1.02875205011245	0.632354307193358
ENSG00000004059	ARF5	381	-0.106531202923103	-1.07663647130735	0.155811163160413	-0.0379515865187647	-1.02665509299114	0.594481733550844
