ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	15/457	19/12465	7.86591508270018e-19	1.04773988901566e-15	9.55501684782738e-16	5427/5428/5429/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441	15
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	16/457	28/12465	1.67080649750567e-16	1.11275712733878e-13	1.0147951042745e-13	1820/5427/5428/5429/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441	16
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	16/457	66/12465	1.29781899330272e-09	5.76231633026409e-07	5.2550284851626e-07	1820/5427/5428/5429/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441	16
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	26/457	242/12465	8.8088091649647e-07	0.000293333345193325	0.000267509625693928	1820/1649/1763/1791/5608/5427/5428/5429/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441/5582/5591/7374/7398/7405/7415	26
REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	21/457	188/12465	5.41264855785808e-06	0.00144192957581339	0.00131498872331963	1820/1649/1763/1791/5427/5428/5429/5430/5431/5432/5433/5434/5435/5436/5437/5438/5439/5440/5441/7374/7415	21
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	9/457	43/12465	2.05355354430277e-05	0.00455888886835216	0.00415754524583404	5608/5427/5434/5436/5437/5438/5441/5582/5591	9
MAPK Signaling Pathway%WikiPathways_20190910%WP382%Homo sapiens	MAPK Signaling Pathway%WikiPathways_20190910%WP382%Homo sapiens	23/457	249/12465	4.45613100038563e-05	0.00847938070359095	0.00773289499916544	11200/2033/2067/2068/2071/2072/2073/2074/2138/2139/2140/2175/2187/2176/2177/2178/2188/2189/2237/2255/2271/4436/4438	23
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	7/457	31/12465	0.000104044858777938	0.0156881325136122	0.0143070214325182	596/597/598/599/602/604/595	7
mRNA Processing%WikiPathways_20190910%WP411%Homo sapiens	mRNA Processing%WikiPathways_20190910%WP411%Homo sapiens	15/457	133/12465	0.000106000895362245	0.0156881325136122	0.0143070214325182	1820/1763/5427/5428/5429/5430/5431/5432/5433/5434/5436/5437/5440/7335/7398	15
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	10/457	69/12465	0.000194203184236501	0.0258678641403019	0.0235905762746234	4170/4171/4172/4173/4174/4175/4176/4193/4194/4221	10
