ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
Brain Derived Neurotrophic Factor  BDNF  signaling pathway WikiPathways 20190910 WP2380 Homo sapiens	Brain Derived Neurotrophic Factor  BDNF  signaling pathway WikiPathways 20190910 WP2380 Homo sapiens	131	-0.567996261556314	-1.87799664033058	0.00162074554294976	0.1885091214091	0.174813212523866	572	tags=11%, list=5%, signal=10%	5792/8660/140885/25759/5295/650/7189/9252/6197/4792/2885/6774/5170/2309
KEGG NEUROTROPHIN SIGNALING PATHWAY	KEGG NEUROTROPHIN SIGNALING PATHWAY	112	-0.640806810141596	-2.06608208579586	0.00167224080267559	0.1885091214091	0.174813212523866	618	tags=12%, list=5%, signal=11%	7529/3845/8660/4217/25759/5295/7189/9252/6197/4792/2885/5170/2309
Hematopoietic Stem Cell Gene Regulation by GABP alpha beta Complex WikiPathways 20190910 WP3657 Homo sapiens	Hematopoietic Stem Cell Gene Regulation by GABP alpha beta Complex WikiPathways 20190910 WP3657 Homo sapiens	20	-0.84332615699117	-2.00429906994845	0.00185185185185185	0.1885091214091	0.174813212523866	2	tags=10%, list=0%, signal=10%	2033/2309
REACTOME CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER	REACTOME CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER	22	-0.816073644809514	-1.97341250293958	0.00185185185185185	0.1885091214091	0.174813212523866	327	tags=14%, list=3%, signal=13%	2308/5170/2309
REACTOME NEURODEGENERATIVE DISEASES	REACTOME NEURODEGENERATIVE DISEASES	20	-0.820564660941604	-1.95020274554942	0.00185185185185185	0.1885091214091	0.174813212523866	339	tags=15%, list=3%, signal=15%	4000/2801/2309
PI3K AKT mTOR signaling pathway and therapeutic opportunities WikiPathways 20190910 WP3844 Homo sapiens	PI3K AKT mTOR signaling pathway and therapeutic opportunities WikiPathways 20190910 WP3844 Homo sapiens	27	-0.77765075146062	-1.95787682607222	0.00187617260787992	0.1885091214091	0.174813212523866	599	tags=15%, list=5%, signal=14%	3845/2308/5295/2309
Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	25	-0.798792225623718	-1.99169272317597	0.0018796992481203	0.1885091214091	0.174813212523866	565	tags=16%, list=5%, signal=15%	930/1236/2308/2309
REACTOME SIGNALING BY NODAL	REACTOME SIGNALING BY NODAL	14	-0.864241899577607	-1.89887348253463	0.00193050193050193	0.1885091214091	0.174813212523866	2	tags=14%, list=0%, signal=14%	8928/2309
REACTOME REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION	REACTOME REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION	10	-0.929808057678652	-1.92362872388039	0.00199203187250996	0.1885091214091	0.174813212523866	542	tags=40%, list=5%, signal=38%	2033/2308/10628/2309
Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms WikiPathways 20190910 WP4534 Homo sapiens	Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms WikiPathways 20190910 WP4534 Homo sapiens	41	0.608009866651895	1.84063389442485	0.0022883295194508	0.1885091214091	0.174813212523866	2796	tags=46%, list=25%, signal=35%	9448/72/56924/106821730/7005/3689/8994/58/5871/7004/5062/5601/1499/3694/10298/3691/259230/11183/59
