ENSG_ID	hgnc_symbol	entrezgene_id	caco2_L_logFC	caco2_L_FC	caco2_L_pval	caco2_H_logFC	caco2_H_FC	caco2_H_pval	SAE_L_logFC	SAE_L_FC	SAE_L_pval	SAE_H_logFC	SAE_H_FC	SAE_H_pval	THP1_L_logFC	THP1_L_FC	THP1_L_pval	THP1_H_logFC	THP1_H_FC	THP1_H_pval
ENSG00000000003	TSPAN6	7105	-0.026641846892236	-1.01863828540135	0.555886081261363	-0.0190006045374691	-1.0132573247477	0.672937334549414	-0.0489512637217864	-1.03451263362922	0.563860980943482	0.0174250513707133	1.01215136033383	0.835922430572164	-0.0288990047270152	-1.02023323574043	0.796107903355198	-0.256336678115324	-1.19444189845572	0.0427288506722791
ENSG00000000005	TNMD	64102	0.0256681282757931	1.01795100750233	0.730534443660805	0.183982757402733	1.13601568743493	0.0313944260607029	0.093437422497044	1.06690921671934	0.133892820681439	0.0552993874387202	1.03907470925114	0.355830586156463	0.0798954470111832	1.05694144059547	0.313797194641109	0.0793052154190839	1.05650911594125	0.317181629361157
ENSG00000000419	DPM1	8813	-0.0129723196400366	-1.0090322737972	0.787393826872125	0.0365128866307316	1.02563179125994	0.454252357869976	0.118015350804901	1.08524091918219	0.224376672404182	0.172880969945703	1.12730739942081	0.0878109813244158	0.215602861521228	1.16118904112889	0.0622799205418526	0.3429593368865	1.26835564955539	0.00812283507440346
ENSG00000000457	SCYL3	57147	-0.00354078579561978	-1.00245729991575	0.935470742418192	-0.0744087826259001	-1.05292945634819	0.114164892698413	-0.227649101868366	-1.1709253493748	0.0433038452413971	-0.23477973024685	-1.17672706157001	0.0383403467407661	-0.0845237694552541	-1.06033766839766	0.535342773363688	-0.378862777787167	-1.30031646081923	0.0180509039679994
ENSG00000000460	C1orf112	55732	-0.043861476680342	-1.030869333012	0.3859680408468	0.0243175244310034	1.01699848104159	0.625574557217475	-0.366027861469442	-1.28879951966859	0.000615969469918856	-0.196376449366633	-1.14581684248378	0.0232976910763065	-0.0837281515216342	-1.05975307424395	0.577510367993257	0.231034070884496	1.17367589564543	0.145449944911684
ENSG00000000938	FGR	2268	-0.0721701858012134	-1.05129691676129	0.40846211303158	-0.0860740757285776	-1.06147770952952	0.328113518996773	0.14142406174112	1.10299332619496	0.0722843372346936	0.0731166707829431	1.05198684996606	0.321321985344176	-0.0128047649824339	-1.00891509155497	0.847930235901321	0.154685560038933	1.11317897089854	0.0411370480316854
ENSG00000000971	CFH	3075	-0.0362925423301266	-1.02547515742105	0.692571381327546	-0.135838111559007	-1.09873091929786	0.160818902741535	0.042425433246303	1.02984372706924	0.557933521406462	0.0845695761754635	1.06037133550028	0.255564120623076	0.0521879519437067	1.03683616953689	0.594725959382456	0.0996669152685432	1.07152604353331	0.319787060367507
ENSG00000001084	GCLC	2729	-0.0667190413580965	-1.04733214381649	0.176383632307103	-0.00983453422595559	-1.00684006679771	0.833586101966671	-0.0562188141886955	-1.03973712060131	0.499425583732745	-0.00236220171843637	-1.00163869465613	0.977069227638245	0.142471887513093	1.10379471845711	0.349976022887141	0.0500792205600913	1.03532177336022	0.736862217677143
ENSG00000001167	NFYA	4800	0.0223981927450305	1.0156463868653	0.574616899849906	0.0459841620750798	1.0323872018609	0.262422259492795	-0.0419553198995066	-1.02950819918903	0.447962483679703	0.0395173018959207	1.02776989701805	0.4739940046827	0.00485236147738988	1.0033690632559	0.939668414134545	-0.0122412652093313	-1.00852109809535	0.848708780540853
ENSG00000001461	NIPAL3	57185	-0.0471371608446991	-1.03321261327881	0.448656355341961	-0.082145619944114	-1.058591239505	0.20079198660527	0.14960436610673	1.10926523375593	0.262871385014505	0.139544565560003	1.10155731795576	0.294214764963691	0.0754162636172229	1.05366500812212	0.266751517222412	0.0545607590168067	1.03854286180215	0.413844333475818
ENSG00000001497	LAS1L	81887	0.00758056800103724	1.00526827816623	0.8872271285309	0.021456352499384	1.01498355484572	0.689331577546352	-0.114696611161436	-1.08274732727145	0.263485639302443	-0.15331566294355	-1.11212246427137	0.144960535655505	-0.053038161694948	-1.03744737841967	0.683350022798408	-0.208378878160747	-1.15538917108775	0.13238387356843
ENSG00000001561	ENPP4	22875	0.0621389720756076	1.04401249032018	0.573384400477757	0.0596250520129433	1.04219486530225	0.588724354320062	-0.138109799976703	-1.10046235966685	0.332646581812745	-0.0731884561015934	-1.05203919581041	0.60088842729526	0.176980818580037	1.13051553620204	0.297987979233644	-0.144220693608684	-1.10513352762987	0.391455125021155
ENSG00000001617	SEMA3F	6405	-0.0137723399789897	-1.00959196949316	0.722334995717517	0.0221440785725036	1.01546750816579	0.569990933833705	-0.03637610810227	-1.02553455812794	0.657184812941388	-0.171454881143137	-1.12619361854005	0.0579254788860841	0.0394025202540029	1.02768813031044	0.631281238045321	0.0268322570075066	1.01877273643084	0.742910943128304
ENSG00000001626	CFTR	1080	-0.000763816067086864	-1.00052957712985	0.989372487786663	0.0220716088080164	1.01541650026683	0.701528812466222	-0.0313664623183336	-1.02197964517033	0.550680328048258	-0.0403342861385303	-1.02835207799253	0.445762861164462	-0.027034917205514	-1.01891585689685	0.653611038420411	-0.0307980973555435	-1.021577104783	0.609822228673603
