ensembl_gene_id	hgnc_symbol	entrezgene_id
1	ENSG00000171819	ANGPTL7	10218
2	ENSG00000116288	PARK7	11315
8	ENSG00000130766	SESN2	83667
10	ENSG00000116133	DHCR24	1718
12	ENSG00000116157	GPX7	2882
13	ENSG00000023909	GCLM	2730
15	ENSG00000085491	SLC25A24	29957
16	ENSG00000143556	S100A7	6278
20	ENSG00000117592	PRDX6	9588
23	ENSG00000135766	EGLN1	54583
26	ENSG00000284357	MIR34A	407040
27	ENSG00000158828	PINK1	65018
32	ENSG00000284203	MIR29B2	407025
33	ENSG00000116701	NCF2	4688
34	ENSG00000173846	PLK3	1263
35	ENSG00000159363	ATP13A2	23400
38	ENSG00000023572	GLRX2	51022
43	ENSG00000143384	MCL1	4170
45	ENSG00000143384	MCL1	574406
46	ENSG00000177606	JUN	3725
49	ENSG00000143437	ARNT	405
51	ENSG00000143799	PARP1	142
52	ENSG00000158864	NDUFS2	4720
53	ENSG00000117450	PRDX1	5052
59	ENSG00000143811	PYCR2	29920
62	ENSG00000162430	SELENON	57190
65	ENSG00000116560	SFPQ	6421
67	ENSG00000116863	ADPRS	54936
68	ENSG00000196139	AKR1C3	8644
70	ENSG00000107643	MAPK8	5599
75	ENSG00000165887	ANKRD2	26287
77	ENSG00000213341	CHUK	1147
78	ENSG00000107438	PDLIM1	9124
82	ENSG00000165672	PRDX3	10935
87	ENSG00000107679	PLEKHA1	59338
88	ENSG00000173848	NET1	10276
93	ENSG00000165730	STOX1	219736
95	ENSG00000108179	PPIF	10105
98	ENSG00000225830	ERCC6	2074
103	ENSG00000096717	SIRT1	23411
106	ENSG00000121691	CAT	847
109	ENSG00000135362	PRR5L	79899
111	ENSG00000173039	RELA	5970
113	ENSG00000110717	NDUFS8	4728
114	ENSG00000006534	ALDH3B1	221
115	ENSG00000086991	NOX4	50507
121	ENSG00000149273	RPS3	6188
122	ENSG00000126432	PRDX5	25824
126	ENSG00000244734	HBB	3043
128	ENSG00000284010	MIR675	100033819
136	ENSG00000084207	GSTP1	2950
138	ENSG00000110244	APOA4	337
139	ENSG00000173992	CCS	9973
142	ENSG00000149968	MMP3	4314
145	ENSG00000008394	MGST1	4257
149	ENSG00000110931	CAMKK2	10645
150	ENSG00000111450	STX2	2054
155	ENSG00000002016	RAD52	5893
160	ENSG00000198431	TXNRD1	7296
162	ENSG00000184047	DIABLO	56616
163	ENSG00000188906	LRRK2	120892
164	ENSG00000121350	PYROXD1	79912
165	ENSG00000110911	SLC11A2	4891
167	ENSG00000089159	PXN	5829
168	ENSG00000184752	NDUFA12	55967
172	ENSG00000123374	CDK2	1017
180	ENSG00000102572	STK24	8428
183	ENSG00000170345	FOS	2353
187	ENSG00000197930	ERO1A	30001
189	ENSG00000100744	GSKIP	51527
191	ENSG00000184304	PRKD1	5587
193	ENSG00000100867	DHRS2	10202
196	ENSG00000256053	COA8	84334
197	ENSG00000131979	GCH1	2643
204	ENSG00000166170	BAG5	9529
206	ENSG00000176153	GPX2	2877
207	ENSG00000142208	AKT1	207
211	ENSG00000100644	HIF1A	3091
212	ENSG00000255346	NOX5	79400
214	ENSG00000140464	PML	5371
216	ENSG00000073417	PDE8A	5151
217	ENSG00000140398	NEIL1	79661
218	ENSG00000104177	MYEF2	50804
220	ENSG00000140416	TPM1	7168
222	ENSG00000131871	SELENOS	55829
227	ENSG00000051523	CYBA	1535
229	ENSG00000181019	NQO1	1728
232	ENSG00000103415	HMOX2	3163
234	ENSG00000103496	STX4	6810
235	ENSG00000102882	MAPK3	5595
236	ENSG00000087250	MT3	4504
239	ENSG00000188536	HBA2	3040
240	ENSG00000206172	HBA1	3039
242	ENSG00000162065	TBC1D24	57465
244	ENSG00000140939	NOL3	8996
247	ENSG00000257017	HP	3240
250	ENSG00000126353	CCR7	1236
257	ENSG00000005381	MPO	4353
259	ENSG00000284190	MIR21	406991
260	ENSG00000141510	TP53	7157
265	ENSG00000166484	MAPK7	5598
272	ENSG00000186868	MAPT	4137
273	ENSG00000183010	PYCR1	5831
274	ENSG00000185624	P4HB	5034
276	ENSG00000005882	PDK2	5164
285	ENSG00000196365	LONP1	9361
291	ENSG00000064545	TMEM161A	54929
295	ENSG00000186431	FCAR	2204
296	ENSG00000012061	ERCC1	2067
297	ENSG00000073050	XRCC1	7515
299	ENSG00000213015	ZNF580	51157
301	ENSG00000039650	PNKP	11284
302	ENSG00000099783	HNRNPM	4670
303	ENSG00000167815	PRDX2	7001
310	ENSG00000079999	KEAP1	9817
313	ENSG00000104884	ERCC2	2068
317	ENSG00000131943	C19orf12	83636
324	ENSG00000138035	PNPT1	87178
326	ENSG00000163586	FABP1	2168
327	ENSG00000183023	SLC8A1	6546
331	ENSG00000153246	PLA2R1	22925
333	ENSG00000163161	ERCC3	2071
334	ENSG00000118231	CRYGD	1421
335	ENSG00000115694	STK25	10494
339	ENSG00000152256	PDK1	5163
