ID	type
REACTOME NEUTROPHIL DEGRANULATION	Pathway
REACTOME UNWINDING OF DNA	Pathway
NRF2 ARE regulation WikiPathways 20190910 WP4357 Homo sapiens	Pathway
REACTOME TNFR2 NON CANONICAL NF KB PATHWAY	Pathway
TNF alpha Signaling Pathway WikiPathways 20190910 WP231 Homo sapiens	Pathway
Resistin as a regulator of inflammation WikiPathways 20190910 WP4481 Homo sapiens	Pathway
Cytokines and Inflammatory Response WikiPathways 20190910 WP530 Homo sapiens	Pathway
EBV LMP1 signaling WikiPathways 20190910 WP262 Homo sapiens	Pathway
KEGG DNA REPLICATION	Pathway
REACTOME DNA STRAND ELONGATION	Pathway
REACTOME OVARIAN TUMOR DOMAIN PROTEASES	Pathway
Cell Cycle WikiPathways 20190910 WP179 Homo sapiens	Pathway
GO:0006915	Pathway
NRF2 pathway WikiPathways 20190910 WP2884 Homo sapiens	Pathway
Senescence and Autophagy in Cancer WikiPathways 20190910 WP615 Homo sapiens	Pathway
Apoptosis WikiPathways 20190910 WP254 Homo sapiens	Pathway
miRNAs involvement in the immune response in sepsis WikiPathways 20190910 WP4329 Homo sapiens	Pathway
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	Pathway
REACTOME NOD1 2 SIGNALING PATHWAY	Pathway
KEGG TOLL LIKE RECEPTOR SIGNALING PATHWAY	Pathway
Small cell lung cancer WikiPathways 20190910 WP4658 Homo sapiens	Pathway
Toll like Receptor Signaling Pathway WikiPathways 20190910 WP75 Homo sapiens	Pathway
Photodynamic therapy induced NF kB survival signaling WikiPathways 20190910 WP3617 Homo sapiens	Pathway
REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	Pathway
Ferroptosis WikiPathways 20190910 WP4313 Homo sapiens	Pathway
Signal transduction through IL1R WikiPathways 20190910 WP4496 Homo sapiens	Pathway
Oligodendrocyte Specification and differentiation including remyelination   leading to Myelin Components for CNS WikiPathways 20190910 WP4304 Homo sapiens	Pathway
REACTOME DNA REPLICATION	Pathway
REACTOME TNFR1 INDUCED NFKAPPAB SIGNALING PATHWAY	Pathway
TLR4 Signaling and Tolerance WikiPathways 20190910 WP3851 Homo sapiens	Pathway
KEGG CELL CYCLE	Pathway
Phytochemical activity on NRF2 transcriptional activation WikiPathways 20190910 WP3 Homo sapiens	Pathway
RANKL RANK  Receptor activator of NFKB  ligand   Signaling Pathway WikiPathways 20190910 WP2018 Homo sapiens	Pathway
