ID	type
REACTOME ESR MEDIATED SIGNALING	Pathway
Insulin Signaling WikiPathways 20190910 WP481 Homo sapiens	Pathway
Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	Pathway
REACTOME SIGNALING BY INSULIN RECEPTOR	Pathway
REACTOME INSULIN RECEPTOR SIGNALLING CASCADE	Pathway
REACTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY P107 RBL1 AND P130 RBL2 IN COMPLEX WITH HDAC1	Pathway
REACTOME REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION	Pathway
REACTOME G1 S SPECIFIC TRANSCRIPTION	Pathway
KEGG NON SMALL CELL LUNG CANCER	Pathway
REACTOME IRS MEDIATED SIGNALLING	Pathway
REACTOME CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER	Pathway
REACTOME ESTABLISHMENT OF SISTER CHROMATID COHESION	Pathway
Brain Derived Neurotrophic Factor  BDNF  signaling pathway WikiPathways 20190910 WP2380 Homo sapiens	Pathway
KEGG NEUROTROPHIN SIGNALING PATHWAY	Pathway
KEGG ENDOMETRIAL CANCER	Pathway
Energy Metabolism WikiPathways 20190910 WP1541 Homo sapiens	Pathway
Vitamin D Receptor Pathway WikiPathways 20190910 WP2877 Homo sapiens	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL DEATH GENES	Pathway
REACTOME NEURODEGENERATIVE DISEASES	Pathway
REACTOME NEDDYLATION	Pathway
Angiopoietin Like Protein 8 Regulatory Pathway WikiPathways 20190910 WP3915 Homo sapiens	Pathway
REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES	Pathway
IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	Pathway
REACTOME SIGNALING BY NUCLEAR RECEPTORS	Pathway
TP53 Network WikiPathways 20190910 WP1742 Homo sapiens	Pathway
REACTOME PI3K AKT SIGNALING IN CANCER	Pathway
REACTOME ACTIVATION OF AMPK DOWNSTREAM OF NMDARS	Pathway
REACTOME PEPTIDE LIGAND BINDING RECEPTORS	Pathway
Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	Pathway
REACTOME SIGNALING BY NODAL	Pathway
