ID	type
GO:0006974	Pathway
REACTOME DNA REPAIR	Pathway
REACTOME ANTIGEN PROCESSING  UBIQUITINATION PROTEASOME DEGRADATION	Pathway
Ciliary landscape WikiPathways 20190910 WP4352 Homo sapiens	Pathway
REACTOME DNA REPLICATION	Pathway
DNA Replication WikiPathways 20190910 WP466 Homo sapiens	Pathway
KEGG BASE EXCISION REPAIR	Pathway
AMP activated Protein Kinase  AMPK  Signaling WikiPathways 20190910 WP1403 Homo sapiens	Pathway
Estrogen Receptor Pathway WikiPathways 20190910 WP2881 Homo sapiens	Pathway
Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	Pathway
TGF beta Receptor Signaling WikiPathways 20190910 WP560 Homo sapiens	Pathway
REACTOME EXTRA NUCLEAR ESTROGEN SIGNALING	Pathway
REACTOME INTERLEUKIN 10 SIGNALING	Pathway
Wnt beta catenin Signaling Pathway in Leukemia WikiPathways 20190910 WP3658 Homo sapiens	Pathway
Aryl Hydrocarbon Receptor Pathway WikiPathways 20190910 WP2873 Homo sapiens	Pathway
REACTOME CLASS B 2 SECRETIN FAMILY RECEPTORS	Pathway
REACTOME FORMATION OF FIBRIN CLOT CLOTTING CASCADE	Pathway
REACTOME PEPTIDE LIGAND BINDING RECEPTORS	Pathway
REACTOME INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING	Pathway
REACTOME ESTROGEN DEPENDENT GENE EXPRESSION	Pathway
REACTOME G ALPHA Q SIGNALLING EVENTS	Pathway
TGF beta Signaling Pathway WikiPathways 20190910 WP366 Homo sapiens	Pathway
REACTOME ESR MEDIATED SIGNALING	Pathway
GPCRs  Class A Rhodopsin like WikiPathways 20190910 WP455 Homo sapiens	Pathway
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	Pathway
KEGG NEUROACTIVE LIGAND RECEPTOR INTERACTION	Pathway
REACTOME SIGNALING BY NUCLEAR RECEPTORS	Pathway
REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	Pathway
Nuclear Receptors Meta Pathway WikiPathways 20190910 WP2882 Homo sapiens	Pathway
PI3K Akt Signaling Pathway WikiPathways 20190910 WP4172 Homo sapiens	Pathway
REACTOME GPCR LIGAND BINDING	Pathway
GO:0006954	Pathway
REACTOME DEUBIQUITINATION	Pathway
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	Pathway
REACTOME RESOLUTION OF ABASIC SITES AP SITES	Pathway
DNA IR damage and cellular response via ATR WikiPathways 20190910 WP4016 Homo sapiens	Pathway
REACTOME DNA REPLICATION PRE INITIATION	Pathway
REACTOME ASSEMBLY OF THE PRE REPLICATIVE COMPLEX	Pathway
REACTOME ORC1 REMOVAL FROM CHROMATIN	Pathway
GO:0006915	Pathway
Peptide GPCRs WikiPathways 20190910 WP24 Homo sapiens	Pathway
Apoptosis related network due to altered Notch3 in ovarian cancer WikiPathways 20190910 WP2864 Homo sapiens	Pathway
IL 5 Signaling Pathway WikiPathways 20190910 WP127 Homo sapiens	Pathway
KEGG HEMATOPOIETIC CELL LINEAGE	Pathway
REACTOME SIGNALING BY TGF BETA FAMILY MEMBERS	Pathway
Spinal Cord Injury WikiPathways 20190910 WP2431 Homo sapiens	Pathway
REACTOME CELL SURFACE INTERACTIONS AT THE VASCULAR WALL	Pathway
REACTOME CELL CYCLE CHECKPOINTS	Pathway
REACTOME EXTENSION OF TELOMERES	Pathway
REACTOME RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY	Pathway
REACTOME G ALPHA I SIGNALLING EVENTS	Pathway
KEGG MISMATCH REPAIR	Pathway
REACTOME MAPK TARGETS NUCLEAR EVENTS MEDIATED BY MAP KINASES	Pathway
Hair Follicle Development  Cytodifferentiation  Part 3 of 3  WikiPathways 20190910 WP2840 Homo sapiens	Pathway
REACTOME RAF INDEPENDENT MAPK1 3 ACTIVATION	Pathway
REACTOME SENESCENCE ASSOCIATED SECRETORY PHENOTYPE SASP	Pathway
REACTOME DEGRADATION OF AXIN	Pathway
REACTOME MISMATCH REPAIR	Pathway
REACTOME G2 M CHECKPOINTS	Pathway
ATM Signaling Network in Development and Disease  WikiPathways 20190910 WP3878 Homo sapiens	Pathway
REACTOME SWITCHING OF ORIGINS TO A POST REPLICATIVE STATE	Pathway
Differentiation Pathway WikiPathways 20190910 WP2848 Homo sapiens	Pathway
REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES	Pathway
KEGG ASTHMA	Pathway
NRF2 pathway WikiPathways 20190910 WP2884 Homo sapiens	Pathway
Vitamin D Receptor Pathway WikiPathways 20190910 WP2877 Homo sapiens	Pathway
REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA	Pathway
