ID	type
KEGG NON SMALL CELL LUNG CANCER	Pathway
Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	Pathway
Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G2 CELL CYCLE ARREST	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX	Pathway
KEGG MISMATCH REPAIR	Pathway
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	Pathway
Gastric Cancer Network 1 WikiPathways 20190910 WP2361 Homo sapiens	Pathway
REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	Pathway
DNA Replication WikiPathways 20190910 WP466 Homo sapiens	Pathway
KEGG DNA REPLICATION	Pathway
REACTOME DNA STRAND ELONGATION	Pathway
DNA IR damage and cellular response via ATR WikiPathways 20190910 WP4016 Homo sapiens	Pathway
REACTOME REGULATION OF HSF1 MEDIATED HEAT SHOCK RESPONSE	Pathway
KEGG CELL CYCLE	Pathway
Retinoblastoma Gene in Cancer WikiPathways 20190910 WP2446 Homo sapiens	Pathway
REACTOME MITOTIC G1 G1 S PHASES	Pathway
REACTOME CELL CYCLE CHECKPOINTS	Pathway
GO:0006974	Pathway
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	Pathway
IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	Pathway
REACTOME G1 S SPECIFIC TRANSCRIPTION	Pathway
Integrated Cancer Pathway WikiPathways 20190910 WP1971 Homo sapiens	Pathway
REACTOME G0 AND EARLY G1	Pathway
REACTOME REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION	Pathway
Cell Cycle WikiPathways 20190910 WP179 Homo sapiens	Pathway
REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA	Pathway
Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	Pathway
Non small cell lung cancer WikiPathways 20190910 WP4255 Homo sapiens	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF CELL CYCLE GENES	Pathway
REACTOME RECOGNITION OF DNA DAMAGE BY PCNA CONTAINING REPLICATION COMPLEX	Pathway
REACTOME MITOTIC G2 G2 M PHASES	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY P107 RBL1 AND P130 RBL2 IN COMPLEX WITH HDAC1	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL CYCLE GENES	Pathway
REACTOME HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE	Pathway
ATM Signaling Network in Development and Disease  WikiPathways 20190910 WP3878 Homo sapiens	Pathway
REACTOME TRANSCRIPTIONAL REGULATION BY RUNX1	Pathway
IL 5 Signaling Pathway WikiPathways 20190910 WP127 Homo sapiens	Pathway
