ID	type
miRNAs involvement in the immune response in sepsis WikiPathways 20190910 WP4329 Homo sapiens	Pathway
KEGG NEUROACTIVE LIGAND RECEPTOR INTERACTION	Pathway
DNA IR damage and cellular response via ATR WikiPathways 20190910 WP4016 Homo sapiens	Pathway
Hepatitis B infection WikiPathways 20190910 WP4666 Homo sapiens	Pathway
REACTOME GPCR LIGAND BINDING	Pathway
REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	Pathway
GPCRs  Class A Rhodopsin like WikiPathways 20190910 WP455 Homo sapiens	Pathway
GO:0006974	Pathway
Peptide GPCRs WikiPathways 20190910 WP24 Homo sapiens	Pathway
Ciliary landscape WikiPathways 20190910 WP4352 Homo sapiens	Pathway
REACTOME DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR BCR	Pathway
REACTOME DISEASES OF IMMUNE SYSTEM	Pathway
TLR4 Signaling and Tolerance WikiPathways 20190910 WP3851 Homo sapiens	Pathway
Toll like Receptor Signaling WikiPathways 20190910 WP3858 Homo sapiens	Pathway
REACTOME PROGRAMMED CELL DEATH	Pathway
KEGG HEMATOPOIETIC CELL LINEAGE	Pathway
REACTOME REPRODUCTION	Pathway
REACTOME IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON LYMPHOID CELL	Pathway
REACTOME ESTABLISHMENT OF SISTER CHROMATID COHESION	Pathway
REACTOME ANTIGEN PROCESSING  UBIQUITINATION PROTEASOME DEGRADATION	Pathway
REACTOME CLASS B 2 SECRETIN FAMILY RECEPTORS	Pathway
REACTOME NOD1 2 SIGNALING PATHWAY	Pathway
REACTOME COHESIN LOADING ONTO CHROMATIN	Pathway
REACTOME REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION	Pathway
REACTOME ACTIVATION OF THE TFAP2 AP 2 FAMILY OF TRANSCRIPTION FACTORS	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL DEATH GENES	Pathway
REACTOME MITOTIC TELOPHASE CYTOKINESIS	Pathway
REACTOME ACTIVATION OF MATRIX METALLOPROTEINASES	Pathway
REACTOME ESR MEDIATED SIGNALING	Pathway
