SUID	shared name	name	selected	id	type	entrezgene_id	ENSG_ID	hgnc_symbol	TiO2_24hrs_10_Caco2.logFC	TiO2_24hrs_10_Caco2.P.Value	TiO2_24hrs_100_Caco2.logFC	TiO2_24hrs_100_Caco2.P.Value	TiO2_24hrs_10_SAE.logFC	TiO2_24hrs_10_SAE.P.Value	TiO2_24hrs_100_SAE.logFC	TiO2_24hrs_100_SAE.P.Value	TiO2_24hrs_10_THP1.logFC	TiO2_24hrs_10_THP1.P.Value	TiO2_24hrs_100_THP1.logFC	TiO2_24hrs_100_THP1.P.Value
62	KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	FALSE	KEGG_OXIDATIVE_PHOSPHORYLATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	FALSE	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	FALSE	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	FALSE	KEGG_ARGININE_AND_PROLINE_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	FALSE	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	FALSE	KEGG_GLYCEROLIPID_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM	FALSE	KEGG_SPHINGOLIPID_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	FALSE	KEGG_MAPK_SIGNALING_PATHWAY	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	FALSE	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	FALSE	KEGG_WNT_SIGNALING_PATHWAY	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	FALSE	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	FALSE	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	FALSE	KEGG_ALZHEIMERS_DISEASE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	FALSE	KEGG_PARKINSONS_DISEASE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	FALSE	KEGG_HUNTINGTONS_DISEASE	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	FALSE	KEGG_PANCREATIC_CANCER	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	FALSE	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	REACTOME_SIGNALING_BY_RHO_GTPASES	REACTOME_SIGNALING_BY_RHO_GTPASES	FALSE	REACTOME_SIGNALING_BY_RHO_GTPASES	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	REACTOME_SIGNALING_BY_WNT	REACTOME_SIGNALING_BY_WNT	FALSE	REACTOME_SIGNALING_BY_WNT	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	FALSE	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
