ENSG_ID	hgnc_symbol	entrezgene_id	caco2_L_rnk	caco2_H_rnk	SAE_L_rnk	SAE_H_rnk	THP1_L_rnk	THP1_H_rnk
ENSG00000000003	TSPAN6	7105	-0.259767227494186	-0.174305972659595	-0.257415665587344	0.0787798102867909	-0.101031722780343	-1.63552395595064
ENSG00000000005	TNMD	64102	0.138807089748337	1.70759908613235	0.9316706948644	0.466291762477524	0.532012471179886	0.52687261684068
ENSG00000000419	DPM1	8813	-0.10474561660684	0.351486896622085	0.704345554195457	1.1909452203881	1.39998983197212	2.65123412982157
ENSG00000000457	SCYL3	57147	-0.0290409783170288	-0.992351715735492	-1.5965257288331	-1.66665027067901	-0.287741771274225	-2.26710310730399
ENSG00000000460	C1orf112	55732	-0.426211538747742	0.207183869051586	-4.13761457745327	-1.87076039797632	-0.252687750355533	0.982702911091704
ENSG00000000938	FGR	2268	-0.40879493510776	-0.513729603644605	1.2584666291467	0.518692171619342	-0.0722785542519215	1.54260654517368
ENSG00000000971	CFH	3075	-0.163599649400559	-0.872021973637501	0.260980468842913	0.628270141489305	0.233996405525453	0.530554454978972
ENSG00000001084	GCLC	2729	-0.789208463092383	-0.0795902388932361	-0.31351111685433	-0.010091173710805	0.503288125619691	0.137297862637515
ENSG00000001167	NFYA	4800	0.24438646400257	0.599816272056477	-0.359049587161696	0.333230906075457	0.0271164213904358	-0.0718483588375542
ENSG00000001461	NIPAL3	57185	-0.359647027517501	-0.738106577457337	0.643658569151116	0.585296548295234	0.604691079692929	0.397931185014428
ENSG00000001497	LAS1L	81887	0.0522389543996226	0.163992746805465	-0.62717386429223	-0.93279295586638	-0.171548964923398	-1.01462223385788
ENSG00000001561	ENPP4	22875	0.252185525325979	0.239796530024391	-0.526039644128529	-0.232717550805408	0.594426487629863	-0.450140796638682
ENSG00000001617	SEMA3F	6405	-0.142616318413282	0.247908166586205	-0.186967750000112	-1.39324832471839	0.205308572776457	0.131486114687528
ENSG00000001626	CFTR	1080	-0.00464262788035667	0.156327926770988	-0.26479537322277	-0.360844751789549	-0.188174014106201	-0.219431441147108
ENSG00000002016	RAD52	5893	0.0825011634566013	0.243977255724473	-0.914186802497345	-0.277406165502719	-0.31758781441745	-1.49978942839722
ENSG00000002330	BAD	572	0.261432305262437	0.156643693608486	-1.49546401184027	-3.05374593056933	-0.547057885667934	-1.15409308021951
ENSG00000002549	LAP3	51056	0.262872132341021	0.337914094230222	0.323878221070108	0.750308608324434	0.47184524862377	-2.15298438664237
ENSG00000002586	CD99	4267	-0.193535288766887	0.218558784836673	0.675664764920132	-0.268656933631737	-0.872377210982925	-1.44631464437326
ENSG00000002587	HS3ST1	9957	-0.659705433459168	0.737841914134508	-0.0549547034494923	-0.30166260234032	-0.102714510203262	-2.13279664296173
ENSG00000002726	AOC1	26	0.0452867113589903	1.09986603865925	-0.129296984875086	-0.263488500226178	0.337137489887454	0.234049916845629
ENSG00000002745	WNT16	51384	-0.390922754357014	-0.152051380155871	3.8368324739367	2.62210356098987	0.330709869558984	0.125340798177566
ENSG00000002746	HECW1	23072	-1.16660039354222	-0.975316732254871	1.9043883030964	0.848700531974469	0.186539563058076	0.447538250045355
ENSG00000002822	MAD1L1	8379	-0.205410540481413	0.0322242076571599	-0.691613447725523	-1.79124443284249	-0.179122682592527	0.0707027570805776
ENSG00000002834	LASP1	3927	-0.120760120727334	0.655582041696682	0.0875715587184335	0.0668999414913837	0.268944533539436	0.422873329110351
