ENSG_ID	hgnc_symbol	entrezgene_id	low-logFC	low-P.Value	high-logFC	high-P.Value
ENSG00000000003	TSPAN6	7105	-0.0489512637217864	0.563860980943482	0.0174250513707133	0.835922430572164
ENSG00000000005	TNMD	64102	0.093437422497044	0.133892820681439	0.0552993874387202	0.355830586156463
ENSG00000000419	DPM1	8813	0.118015350804901	0.224376672404182	0.172880969945703	0.0878109813244158
ENSG00000000457	SCYL3	57147	-0.227649101868366	0.0433038452413971	-0.23477973024685	0.0383403467407661
ENSG00000000460	C1orf112	55732	-0.366027861469442	0.000615969469918856	-0.196376449366633	0.0232976910763065
ENSG00000000938	FGR	2268	0.14142406174112	0.0722843372346936	0.0731166707829431	0.321321985344176
ENSG00000000971	CFH	3075	0.042425433246303	0.557933521406462	0.0845695761754635	0.255564120623076
ENSG00000001084	GCLC	2729	-0.0562188141886955	0.499425583732745	-0.00236220171843637	0.977069227638245
ENSG00000001167	NFYA	4800	-0.0419553198995066	0.447962483679703	0.0395173018959207	0.4739940046827
ENSG00000001461	NIPAL3	57185	0.14960436610673	0.262871385014505	0.139544565560003	0.294214764963691
ENSG00000001497	LAS1L	81887	-0.114696611161436	0.263485639302443	-0.15331566294355	0.144960535655505
ENSG00000001561	ENPP4	22875	-0.138109799976703	0.332646581812745	-0.0731884561015934	0.60088842729526
ENSG00000001617	SEMA3F	6405	-0.03637610810227	0.657184812941388	-0.171454881143137	0.0579254788860841
ENSG00000001626	CFTR	1080	-0.0313664623183336	0.550680328048258	-0.0403342861385303	0.445762861164462
ENSG00000002016	RAD52	5893	-0.109661211408347	0.142143328303711	-0.0437208731395069	0.538114285406567
ENSG00000002330	BAD	572	-0.202307140878003	0.0501421838202159	-0.34246818839152	0.00390425813978436
ENSG00000002549	LAP3	51056	0.0481718430170304	0.486135768475707	0.0921137853100955	0.197742526405905
ENSG00000002586	CD99	4267	0.0854872422384716	0.230785653711495	-0.0415439908786635	0.54823784616685
ENSG00000002587	HS3ST1	9957	-0.00776467185712404	0.881739449070103	-0.0349853868775534	0.507650404704476
ENSG00000002726	AOC1	26	-0.0212484274993596	0.745750208045766	-0.0390427032070866	0.554046855036523
ENSG00000002745	WNT16	51384	0.30722180426531	0.00079265649365406	0.224990184524997	0.00570855214927543
ENSG00000002746	HECW1	23072	0.17119763290356	0.0203564941119767	0.0936505232686002	0.160192296079262
ENSG00000002822	MAD1L1	8379	-0.218426322233743	0.254423099302987	-0.415161842190399	0.0453609830747685
ENSG00000002834	LASP1	3927	0.0275795447297984	0.820515178072664	0.0215522540764645	0.85919559341391
ENSG00000002919	SNX11	29916	-0.0907587553351812	0.202955648579629	-0.0829843856668511	0.241046356957524
ENSG00000002933	TMEM176A	55365	-0.00918937892887639	0.921158752972443	0.143693950615543	0.145039535528864
ENSG00000003056	M6PR	4074	0.311855328003832	0.325045534625339	0.257881371696172	0.411846963388909
ENSG00000003137	CYP26B1	56603	-0.168022342824586	0.14940120187362	-0.0333413814908625	0.76210163357544
ENSG00000003147	ICA1	3382	0.0713111536963305	0.253066167306826	0.0707993686961164	0.256251536705688
ENSG00000003249	DBNDD1	79007	0.0096304346536864	0.887838568710017	-0.0603668158055299	0.386428541530708
ENSG00000003400	CASP10	843	0.0629478783064505	0.271509454282022	0.0495889130463372	0.380415596993408
ENSG00000003402	CFLAR	8837	-0.0066966364404264	0.892372417735845	-0.029026929306053	0.561072163491196
ENSG00000003436	TFPI	7035	0.0878154721027355	0.492342646924954	0.57264521661005	0.00107019441205649
ENSG00000003509	NDUFAF7	55471	-0.111299642223094	0.308289739065557	-0.0915708465815932	0.397594387711465
